epoch,train_loss,test_acc,lr
1,4.2278,0.1042,0.020000
2,3.6764,0.1465,0.040000
3,3.3125,0.2228,0.060000
4,2.9901,0.2503,0.080000
5,2.6385,0.3369,0.100000
6,2.3335,0.3757,0.100000
7,2.0979,0.3975,0.099973
8,1.9518,0.4552,0.099891
9,1.8282,0.4389,0.099754
10,1.7262,0.4510,0.099564
11,1.6548,0.4760,0.099319
12,1.5923,0.4528,0.099020
13,1.5410,0.4445,0.098668
14,1.4874,0.4915,0.098262
15,1.4316,0.4722,0.097804
16,1.4039,0.5150,0.097294
17,1.3625,0.4771,0.096731
18,1.3227,0.4385,0.096118
19,1.2930,0.4311,0.095455
20,1.2630,0.5266,0.094742
21,1.2273,0.5025,0.093980
22,1.2116,0.5281,0.093170
23,1.1908,0.5561,0.092312
24,1.1602,0.5197,0.091409
25,1.1321,0.5514,0.090460
26,1.0904,0.5389,0.089468
27,1.0891,0.5348,0.088432
28,1.0592,0.5485,0.087354
29,1.0276,0.5662,0.086235
30,1.0161,0.5642,0.085077
31,0.9978,0.5586,0.083880
32,0.9639,0.5801,0.082647
33,0.9443,0.5579,0.081377
34,0.9282,0.5573,0.080074
35,0.8942,0.5721,0.078738
36,0.8711,0.5720,0.077370
37,0.8631,0.5735,0.075973
38,0.8321,0.5705,0.074547
39,0.8125,0.5795,0.073094
40,0.7964,0.5823,0.071616
41,0.7723,0.5695,0.070115
42,0.7489,0.5887,0.068591
43,0.7287,0.5562,0.067048
44,0.7053,0.6021,0.065485
45,0.6956,0.5821,0.063906
46,0.6612,0.6007,0.062312
47,0.6415,0.6195,0.060704
48,0.6079,0.6153,0.059085
49,0.5921,0.5904,0.057456
50,0.5713,0.5780,0.055818
51,0.5385,0.5968,0.054175
52,0.5037,0.6152,0.052527
53,0.4911,0.6165,0.050876
54,0.4740,0.6146,0.049224
55,0.4483,0.6092,0.047573
56,0.3998,0.6248,0.045925
57,0.3924,0.6280,0.044282
58,0.3696,0.6245,0.042644
59,0.3444,0.6310,0.041015
60,0.3243,0.6327,0.039396
61,0.3033,0.6342,0.037788
62,0.2633,0.6390,0.036194
63,0.2376,0.6547,0.034615
64,0.2283,0.6500,0.033052
65,0.1989,0.6611,0.031509
66,0.1740,0.6580,0.029985
67,0.1572,0.6661,0.028484
68,0.1326,0.6690,0.027006
69,0.1152,0.6779,0.025553
70,0.0969,0.6760,0.024127
71,0.0787,0.6816,0.022730
72,0.0664,0.6866,0.021362
73,0.0556,0.6919,0.020026
74,0.0457,0.6931,0.018723
75,0.0392,0.7033,0.017453
76,0.0355,0.6992,0.016220
77,0.0301,0.7036,0.015023
78,0.0259,0.7071,0.013865
79,0.0232,0.7057,0.012746
80,0.0217,0.7097,0.011668
81,0.0197,0.7106,0.010632
82,0.0187,0.7120,0.009640
83,0.0177,0.7133,0.008691
84,0.0159,0.7121,0.007788
85,0.0154,0.7178,0.006930
86,0.0144,0.7142,0.006120
87,0.0141,0.7184,0.005358
88,0.0131,0.7169,0.004645
89,0.0135,0.7170,0.003982
90,0.0127,0.7178,0.003369
91,0.0127,0.7187,0.002806
92,0.0126,0.7202,0.002296
93,0.0124,0.7194,0.001838
94,0.0122,0.7204,0.001432
95,0.0116,0.7190,0.001080
96,0.0120,0.7193,0.000781
97,0.0116,0.7191,0.000536
98,0.0116,0.7195,0.000346
99,0.0119,0.7195,0.000209
100,0.0116,0.7200,0.000127
