epoch,train_loss,test_acc,lr
1,4.2460,0.0645,0.020000
2,3.8533,0.1030,0.040000
3,3.6544,0.1248,0.060000
4,3.4881,0.1621,0.080000
5,3.3024,0.1720,0.100000
6,3.0880,0.1759,0.100000
7,2.8547,0.1958,0.099973
8,2.6479,0.2466,0.099891
9,2.4701,0.2273,0.099754
10,2.3283,0.2869,0.099564
11,2.2118,0.3390,0.099319
12,2.1090,0.3322,0.099020
13,2.0405,0.2679,0.098668
14,1.9744,0.4013,0.098262
15,1.9164,0.3517,0.097804
16,1.8636,0.2606,0.097294
17,1.8305,0.4295,0.096731
18,1.7778,0.3279,0.096118
19,1.7438,0.3581,0.095455
20,1.7135,0.3469,0.094742
21,1.6634,0.4184,0.093980
22,1.6425,0.4049,0.093170
23,1.6050,0.4062,0.092312
24,1.5848,0.4305,0.091409
25,1.5530,0.3909,0.090460
26,1.5252,0.4526,0.089468
27,1.5032,0.4025,0.088432
28,1.4815,0.4511,0.087354
29,1.4458,0.4635,0.086235
30,1.4267,0.4560,0.085077
31,1.4109,0.4985,0.083880
32,1.3838,0.5004,0.082647
33,1.3721,0.4442,0.081377
34,1.3507,0.4340,0.080074
35,1.3226,0.4640,0.078738
36,1.3119,0.4545,0.077370
37,1.2923,0.5113,0.075973
38,1.2540,0.4754,0.074547
39,1.2446,0.5125,0.073094
40,1.2226,0.4852,0.071616
41,1.2057,0.4569,0.070115
42,1.1697,0.4292,0.068591
43,1.1662,0.4868,0.067048
44,1.1387,0.4442,0.065485
45,1.1229,0.4694,0.063906
46,1.0845,0.5544,0.062312
47,1.0719,0.5201,0.060704
48,1.0561,0.4741,0.059085
49,1.0374,0.4505,0.057456
50,1.0231,0.5196,0.055818
51,0.9918,0.5283,0.054175
52,0.9772,0.5459,0.052527
53,0.9521,0.5551,0.050876
54,0.9354,0.5781,0.049224
55,0.8957,0.5732,0.047573
56,0.8743,0.5762,0.045925
57,0.8609,0.5429,0.044282
58,0.8396,0.5731,0.042644
59,0.8146,0.5845,0.041015
60,0.7786,0.6073,0.039396
61,0.7564,0.5711,0.037788
62,0.7467,0.5839,0.036194
63,0.7057,0.5731,0.034615
64,0.6980,0.6035,0.033052
65,0.6599,0.6213,0.031509
66,0.6292,0.6055,0.029985
67,0.6068,0.6228,0.028484
68,0.5740,0.6217,0.027006
69,0.5543,0.6239,0.025553
70,0.5230,0.6214,0.024127
71,0.5065,0.5991,0.022730
72,0.4816,0.6409,0.021362
73,0.4421,0.6456,0.020026
74,0.4084,0.5971,0.018723
75,0.3815,0.6366,0.017453
76,0.3539,0.6475,0.016220
77,0.3318,0.6260,0.015023
78,0.3034,0.6509,0.013865
79,0.2790,0.6570,0.012746
80,0.2454,0.6579,0.011668
81,0.2205,0.6665,0.010632
82,0.2017,0.6655,0.009640
83,0.1770,0.6619,0.008691
84,0.1609,0.6758,0.007788
85,0.1370,0.6836,0.006930
86,0.1184,0.6801,0.006120
87,0.1041,0.6790,0.005358
88,0.0921,0.6840,0.004645
89,0.0755,0.6781,0.003982
90,0.0668,0.6868,0.003369
91,0.0560,0.6909,0.002806
92,0.0497,0.6913,0.002296
93,0.0443,0.6925,0.001838
94,0.0373,0.6954,0.001432
95,0.0350,0.6956,0.001080
96,0.0299,0.6943,0.000781
97,0.0281,0.6936,0.000536
98,0.0267,0.6959,0.000346
99,0.0234,0.6954,0.000209
100,0.0249,0.6959,0.000127
