epoch,train_loss,test_acc,lr
1,4.0412,0.1350,0.020000
2,3.4699,0.1613,0.040000
3,3.0283,0.2371,0.060000
4,2.6417,0.2077,0.080000
5,2.3607,0.3602,0.100000
6,2.1086,0.4228,0.100000
7,1.9309,0.4127,0.099919
8,1.8008,0.4285,0.099674
9,1.6950,0.4032,0.099268
10,1.6158,0.4024,0.098702
11,1.5469,0.4378,0.097977
12,1.4875,0.4943,0.097095
13,1.4370,0.4639,0.096060
14,1.3899,0.4632,0.094875
15,1.3454,0.5331,0.093544
16,1.3027,0.5346,0.092071
17,1.2653,0.5161,0.090460
18,1.2277,0.5411,0.088718
19,1.1991,0.5428,0.086850
20,1.1586,0.5049,0.084862
21,1.1234,0.5558,0.082760
22,1.0873,0.5271,0.080552
23,1.0626,0.5190,0.078244
24,1.0152,0.5043,0.075844
25,0.9825,0.5422,0.073360
26,0.9524,0.5289,0.070800
27,0.9080,0.5491,0.068172
28,0.8767,0.5635,0.065485
29,0.8473,0.5742,0.062748
30,0.8093,0.5721,0.059970
31,0.7742,0.5803,0.057159
32,0.7328,0.5961,0.054324
33,0.6952,0.5606,0.051476
34,0.6513,0.5944,0.048624
35,0.6054,0.6058,0.045776
36,0.5560,0.6136,0.042941
37,0.5210,0.5793,0.040130
38,0.4724,0.5843,0.037352
39,0.4203,0.6390,0.034615
40,0.3809,0.6291,0.031928
41,0.3419,0.6377,0.029300
42,0.2855,0.6447,0.026740
43,0.2514,0.6526,0.024256
44,0.2082,0.6534,0.021856
45,0.1779,0.6634,0.019548
46,0.1419,0.6772,0.017340
47,0.1197,0.6746,0.015238
48,0.0980,0.6855,0.013250
49,0.0848,0.6861,0.011382
50,0.0720,0.6917,0.009640
51,0.0629,0.6911,0.008029
52,0.0561,0.6937,0.006556
53,0.0501,0.6989,0.005225
54,0.0455,0.6981,0.004040
55,0.0439,0.6968,0.003005
56,0.0414,0.6988,0.002123
57,0.0391,0.7011,0.001398
58,0.0389,0.6978,0.000832
59,0.0388,0.6997,0.000426
60,0.0374,0.6985,0.000181
