epoch,train_loss,test_acc,lr
1,4.6053,0.0179,0.020000
2,4.5851,0.0336,0.040000
3,4.5037,0.0351,0.060000
4,4.3797,0.0388,0.080000
5,4.2634,0.0409,0.100000
6,4.1851,0.0436,0.100000
7,4.1249,0.0553,0.099919
8,4.0820,0.0527,0.099674
9,4.0329,0.0644,0.099268
10,3.9738,0.0774,0.098702
11,3.8741,0.0930,0.097977
12,3.7769,0.0971,0.097095
13,3.6871,0.1193,0.096060
14,3.5938,0.1175,0.094875
15,3.5086,0.1369,0.093544
16,3.4203,0.1206,0.092071
17,3.3347,0.1611,0.090460
18,3.2510,0.1641,0.088718
19,3.1669,0.1738,0.086850
20,3.0978,0.2003,0.084862
21,3.0297,0.1857,0.082760
22,2.9731,0.2234,0.080552
23,2.9143,0.2155,0.078244
24,2.8665,0.2435,0.075844
25,2.8136,0.2336,0.073360
26,2.7729,0.2588,0.070800
27,2.7270,0.2568,0.068172
28,2.6761,0.2808,0.065485
29,2.6441,0.2720,0.062748
30,2.6049,0.2974,0.059970
31,2.5548,0.3003,0.057159
32,2.4994,0.2941,0.054324
33,2.4732,0.2982,0.051476
34,2.4371,0.3189,0.048624
35,2.3955,0.3539,0.045776
36,2.3516,0.3051,0.042941
37,2.3153,0.3572,0.040130
38,2.2757,0.3410,0.037352
39,2.2411,0.3893,0.034615
40,2.1962,0.3444,0.031928
41,2.1647,0.3636,0.029300
42,2.1190,0.3758,0.026740
43,2.0855,0.4242,0.024256
44,2.0447,0.4216,0.021856
45,2.0081,0.4292,0.019548
46,1.9718,0.4263,0.017340
47,1.9340,0.4328,0.015238
48,1.9002,0.4355,0.013250
49,1.8620,0.4551,0.011382
50,1.8388,0.4534,0.009640
51,1.8021,0.4679,0.008029
52,1.7672,0.4760,0.006556
53,1.7398,0.4874,0.005225
54,1.7123,0.4910,0.004040
55,1.6899,0.4962,0.003005
56,1.6761,0.5001,0.002123
57,1.6594,0.5028,0.001398
58,1.6489,0.5043,0.000832
59,1.6474,0.5052,0.000426
60,1.6332,0.5049,0.000181
