epoch,train_loss,test_acc,lr
1,4.3672,0.1493,0.020000
2,3.4593,0.2356,0.040000
3,2.9339,0.2998,0.060000
4,2.4807,0.3520,0.080000
5,2.2131,0.4115,0.100000
6,1.9028,0.4594,0.100000
7,1.7117,0.4665,0.099919
8,1.5834,0.4957,0.099674
9,1.4743,0.5228,0.099268
10,1.3940,0.5128,0.098702
11,1.3193,0.5570,0.097977
12,1.2691,0.5354,0.097095
13,1.2182,0.5540,0.096060
14,1.1778,0.5722,0.094875
15,1.1266,0.5490,0.093544
16,1.0936,0.5755,0.092071
17,1.0558,0.5397,0.090460
18,1.0234,0.5830,0.088718
19,0.9937,0.5844,0.086850
20,0.9543,0.5896,0.084862
21,0.9302,0.5763,0.082760
22,0.8973,0.5944,0.080552
23,0.8480,0.6021,0.078244
24,0.8303,0.6022,0.075844
25,0.7925,0.5810,0.073360
26,0.7679,0.6045,0.070800
27,0.7301,0.6067,0.068172
28,0.7064,0.6298,0.065485
29,0.6696,0.6266,0.062748
30,0.6437,0.6230,0.059970
31,0.6028,0.6377,0.057159
32,0.5571,0.6388,0.054324
33,0.5311,0.6470,0.051476
34,0.4940,0.6468,0.048624
35,0.4568,0.6413,0.045776
36,0.4284,0.6487,0.042941
37,0.3827,0.6547,0.040130
38,0.3575,0.6561,0.037352
39,0.3124,0.6566,0.034615
40,0.2749,0.6718,0.031928
41,0.2452,0.6735,0.029300
42,0.2108,0.6836,0.026740
43,0.1824,0.6802,0.024256
44,0.1578,0.6826,0.021856
45,0.1295,0.6905,0.019548
46,0.1116,0.7014,0.017340
47,0.0937,0.7020,0.015238
48,0.0802,0.7039,0.013250
49,0.0717,0.7037,0.011382
50,0.0610,0.7071,0.009640
51,0.0539,0.7086,0.008029
52,0.0503,0.7103,0.006556
53,0.0459,0.7101,0.005225
54,0.0412,0.7111,0.004040
55,0.0400,0.7121,0.003005
56,0.0384,0.7125,0.002123
57,0.0370,0.7138,0.001398
58,0.0362,0.7146,0.000832
59,0.0358,0.7141,0.000426
60,0.0360,0.7152,0.000181
