epoch,train_loss,test_acc,lr
1,4.2935,0.1480,0.020000
2,3.5019,0.2352,0.040000
3,2.9566,0.3153,0.060000
4,2.4946,0.3497,0.080000
5,2.1720,0.3971,0.100000
6,1.8824,0.4352,0.100000
7,1.7030,0.4789,0.099919
8,1.5600,0.5218,0.099674
9,1.4490,0.5173,0.099268
10,1.3682,0.5354,0.098702
11,1.3072,0.5174,0.097977
12,1.2392,0.5465,0.097095
13,1.2032,0.5499,0.096060
14,1.1341,0.5863,0.094875
15,1.1055,0.5755,0.093544
16,1.0755,0.5805,0.092071
17,1.0315,0.5813,0.090460
18,0.9978,0.6037,0.088718
19,0.9635,0.5591,0.086850
20,0.9348,0.6093,0.084862
21,0.8930,0.5887,0.082760
22,0.8650,0.6240,0.080552
23,0.8421,0.5931,0.078244
24,0.7970,0.5962,0.075844
25,0.7674,0.5856,0.073360
26,0.7416,0.6131,0.070800
27,0.7199,0.6042,0.068172
28,0.6822,0.6080,0.065485
29,0.6562,0.5838,0.062748
30,0.6272,0.6346,0.059970
31,0.5822,0.6280,0.057159
32,0.5529,0.6063,0.054324
33,0.5213,0.6193,0.051476
34,0.4943,0.6500,0.048624
35,0.4577,0.6628,0.045776
36,0.4091,0.6618,0.042941
37,0.3779,0.6581,0.040130
38,0.3527,0.6546,0.037352
39,0.3098,0.6647,0.034615
40,0.2791,0.6759,0.031928
41,0.2451,0.6714,0.029300
42,0.2192,0.6826,0.026740
43,0.1907,0.6881,0.024256
44,0.1573,0.6955,0.021856
45,0.1316,0.6956,0.019548
46,0.1162,0.7038,0.017340
47,0.0945,0.7047,0.015238
48,0.0832,0.7071,0.013250
49,0.0730,0.7145,0.011382
50,0.0659,0.7117,0.009640
51,0.0576,0.7193,0.008029
52,0.0513,0.7191,0.006556
53,0.0490,0.7178,0.005225
54,0.0457,0.7167,0.004040
55,0.0440,0.7197,0.003005
56,0.0406,0.7210,0.002123
57,0.0402,0.7209,0.001398
58,0.0389,0.7219,0.000832
59,0.0382,0.7225,0.000426
60,0.0381,0.7215,0.000181
