epoch,train_loss,test_acc,lr
1,4.6056,0.0116,0.020000
2,4.6009,0.0207,0.040000
3,4.5828,0.0229,0.060000
4,4.5317,0.0295,0.080000
5,4.4458,0.0394,0.100000
6,4.3345,0.0525,0.100000
7,4.2152,0.0622,0.099919
8,4.1073,0.0632,0.099674
9,4.0233,0.0774,0.099268
10,3.9545,0.0864,0.098702
11,3.8786,0.0955,0.097977
12,3.8074,0.0993,0.097095
13,3.7487,0.1077,0.096060
14,3.6840,0.1136,0.094875
15,3.6281,0.1234,0.093544
16,3.5607,0.1146,0.092071
17,3.4966,0.1206,0.090460
18,3.4251,0.1324,0.088718
19,3.3510,0.1417,0.086850
20,3.2717,0.1797,0.084862
21,3.1888,0.1757,0.082760
22,3.1036,0.1711,0.080552
23,3.0264,0.2025,0.078244
24,2.9575,0.1952,0.075844
25,2.8910,0.1879,0.073360
26,2.8269,0.2322,0.070800
27,2.7755,0.1693,0.068172
28,2.7232,0.2465,0.065485
29,2.6635,0.2613,0.062748
30,2.6191,0.2479,0.059970
31,2.5674,0.2760,0.057159
32,2.5247,0.2199,0.054324
33,2.4773,0.2661,0.051476
34,2.4307,0.3390,0.048624
35,2.3870,0.3287,0.045776
36,2.3439,0.2636,0.042941
37,2.2953,0.3290,0.040130
38,2.2594,0.3341,0.037352
39,2.2325,0.3270,0.034615
40,2.1900,0.3328,0.031928
41,2.1472,0.3205,0.029300
42,2.1061,0.3705,0.026740
43,2.0630,0.3888,0.024256
44,2.0367,0.4048,0.021856
45,1.9949,0.4157,0.019548
46,1.9599,0.4223,0.017340
47,1.9222,0.4333,0.015238
48,1.8817,0.4516,0.013250
49,1.8500,0.4470,0.011382
50,1.8161,0.4698,0.009640
51,1.7844,0.4728,0.008029
52,1.7521,0.4770,0.006556
53,1.7214,0.4845,0.005225
54,1.6977,0.4930,0.004040
55,1.6728,0.4967,0.003005
56,1.6624,0.4965,0.002123
57,1.6425,0.5008,0.001398
58,1.6334,0.5058,0.000832
59,1.6251,0.5030,0.000426
60,1.6182,0.5065,0.000181
