epoch,train_loss,test_acc,lr
1,3.7216,0.2128,0.020000
2,2.9122,0.2867,0.040000
3,2.4290,0.3786,0.060000
4,2.1569,0.3690,0.080000
5,1.9849,0.4378,0.100000
6,1.7952,0.4340,0.100000
7,1.6659,0.4298,0.099919
8,1.5615,0.4915,0.099674
9,1.4801,0.4823,0.099268
10,1.4106,0.5285,0.098702
11,1.3488,0.4981,0.097977
12,1.3015,0.5408,0.097095
13,1.2516,0.5328,0.096060
14,1.2142,0.5645,0.094875
15,1.1741,0.5480,0.093544
16,1.1362,0.5406,0.092071
17,1.0903,0.5553,0.090460
18,1.0706,0.5725,0.088718
19,1.0258,0.5606,0.086850
20,0.9992,0.5736,0.084862
21,0.9728,0.5544,0.082760
22,0.9288,0.5843,0.080552
23,0.9033,0.5611,0.078244
24,0.8733,0.5871,0.075844
25,0.8457,0.5993,0.073360
26,0.8046,0.5997,0.070800
27,0.7831,0.5817,0.068172
28,0.7453,0.5948,0.065485
29,0.7289,0.5908,0.062748
30,0.6871,0.5863,0.059970
31,0.6527,0.5969,0.057159
32,0.6215,0.6068,0.054324
33,0.5778,0.5984,0.051476
34,0.5508,0.5964,0.048624
35,0.5115,0.6161,0.045776
36,0.4708,0.6120,0.042941
37,0.4392,0.6180,0.040130
38,0.4127,0.6303,0.037352
39,0.3687,0.6123,0.034615
40,0.3297,0.6270,0.031928
41,0.2909,0.6375,0.029300
42,0.2608,0.6282,0.026740
43,0.2436,0.6429,0.024256
44,0.1952,0.6381,0.021856
45,0.1732,0.6500,0.019548
46,0.1450,0.6468,0.017340
47,0.1159,0.6566,0.015238
48,0.0940,0.6601,0.013250
49,0.0814,0.6680,0.011382
50,0.0646,0.6643,0.009640
51,0.0517,0.6716,0.008029
52,0.0400,0.6732,0.006556
53,0.0323,0.6745,0.005225
54,0.0255,0.6760,0.004040
55,0.0226,0.6758,0.003005
56,0.0185,0.6785,0.002123
57,0.0171,0.6811,0.001398
58,0.0148,0.6832,0.000832
59,0.0127,0.6829,0.000426
60,0.0134,0.6823,0.000181
