使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=4.0412 test_acc=0.1350 lr=0.020000
epoch=2 train_loss=3.4699 test_acc=0.1613 lr=0.040000
epoch=3 train_loss=3.0283 test_acc=0.2371 lr=0.060000
epoch=4 train_loss=2.6417 test_acc=0.2077 lr=0.080000
epoch=5 train_loss=2.3607 test_acc=0.3602 lr=0.100000
epoch=6 train_loss=2.1086 test_acc=0.4228 lr=0.100000
epoch=7 train_loss=1.9309 test_acc=0.4127 lr=0.099919
epoch=8 train_loss=1.8008 test_acc=0.4285 lr=0.099674
epoch=9 train_loss=1.6950 test_acc=0.4032 lr=0.099268
epoch=10 train_loss=1.6158 test_acc=0.4024 lr=0.098702
epoch=11 train_loss=1.5469 test_acc=0.4378 lr=0.097977
epoch=12 train_loss=1.4875 test_acc=0.4943 lr=0.097095
epoch=13 train_loss=1.4370 test_acc=0.4639 lr=0.096060
epoch=14 train_loss=1.3899 test_acc=0.4632 lr=0.094875
epoch=15 train_loss=1.3454 test_acc=0.5331 lr=0.093544
epoch=16 train_loss=1.3027 test_acc=0.5346 lr=0.092071
epoch=17 train_loss=1.2653 test_acc=0.5161 lr=0.090460
epoch=18 train_loss=1.2277 test_acc=0.5411 lr=0.088718
epoch=19 train_loss=1.1991 test_acc=0.5428 lr=0.086850
epoch=20 train_loss=1.1586 test_acc=0.5049 lr=0.084862
epoch=21 train_loss=1.1234 test_acc=0.5558 lr=0.082760
epoch=22 train_loss=1.0873 test_acc=0.5271 lr=0.080552
epoch=23 train_loss=1.0626 test_acc=0.5190 lr=0.078244
epoch=24 train_loss=1.0152 test_acc=0.5043 lr=0.075844
epoch=25 train_loss=0.9825 test_acc=0.5422 lr=0.073360
epoch=26 train_loss=0.9524 test_acc=0.5289 lr=0.070800
epoch=27 train_loss=0.9080 test_acc=0.5491 lr=0.068172
epoch=28 train_loss=0.8767 test_acc=0.5635 lr=0.065485
epoch=29 train_loss=0.8473 test_acc=0.5742 lr=0.062748
epoch=30 train_loss=0.8093 test_acc=0.5721 lr=0.059970
epoch=31 train_loss=0.7742 test_acc=0.5803 lr=0.057159
epoch=32 train_loss=0.7328 test_acc=0.5961 lr=0.054324
epoch=33 train_loss=0.6952 test_acc=0.5606 lr=0.051476
epoch=34 train_loss=0.6513 test_acc=0.5944 lr=0.048624
epoch=35 train_loss=0.6054 test_acc=0.6058 lr=0.045776
epoch=36 train_loss=0.5560 test_acc=0.6136 lr=0.042941
epoch=37 train_loss=0.5210 test_acc=0.5793 lr=0.040130
epoch=38 train_loss=0.4724 test_acc=0.5843 lr=0.037352
epoch=39 train_loss=0.4203 test_acc=0.6390 lr=0.034615
epoch=40 train_loss=0.3809 test_acc=0.6291 lr=0.031928
epoch=41 train_loss=0.3419 test_acc=0.6377 lr=0.029300
epoch=42 train_loss=0.2855 test_acc=0.6447 lr=0.026740
epoch=43 train_loss=0.2514 test_acc=0.6526 lr=0.024256
epoch=44 train_loss=0.2082 test_acc=0.6534 lr=0.021856
epoch=45 train_loss=0.1779 test_acc=0.6634 lr=0.019548
epoch=46 train_loss=0.1419 test_acc=0.6772 lr=0.017340
epoch=47 train_loss=0.1197 test_acc=0.6746 lr=0.015238
epoch=48 train_loss=0.0980 test_acc=0.6855 lr=0.013250
epoch=49 train_loss=0.0848 test_acc=0.6861 lr=0.011382
epoch=50 train_loss=0.0720 test_acc=0.6917 lr=0.009640
epoch=51 train_loss=0.0629 test_acc=0.6911 lr=0.008029
epoch=52 train_loss=0.0561 test_acc=0.6937 lr=0.006556
epoch=53 train_loss=0.0501 test_acc=0.6989 lr=0.005225
epoch=54 train_loss=0.0455 test_acc=0.6981 lr=0.004040
epoch=55 train_loss=0.0439 test_acc=0.6968 lr=0.003005
epoch=56 train_loss=0.0414 test_acc=0.6988 lr=0.002123
epoch=57 train_loss=0.0391 test_acc=0.7011 lr=0.001398
epoch=58 train_loss=0.0389 test_acc=0.6978 lr=0.000832
epoch=59 train_loss=0.0388 test_acc=0.6997 lr=0.000426
epoch=60 train_loss=0.0374 test_acc=0.6985 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_baseline.csv
