使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=4.6053 test_acc=0.0179 lr=0.020000
epoch=2 train_loss=4.5851 test_acc=0.0336 lr=0.040000
epoch=3 train_loss=4.5037 test_acc=0.0351 lr=0.060000
epoch=4 train_loss=4.3797 test_acc=0.0388 lr=0.080000
epoch=5 train_loss=4.2634 test_acc=0.0409 lr=0.100000
epoch=6 train_loss=4.1851 test_acc=0.0436 lr=0.100000
epoch=7 train_loss=4.1249 test_acc=0.0553 lr=0.099919
epoch=8 train_loss=4.0820 test_acc=0.0527 lr=0.099674
epoch=9 train_loss=4.0329 test_acc=0.0644 lr=0.099268
epoch=10 train_loss=3.9738 test_acc=0.0774 lr=0.098702
epoch=11 train_loss=3.8741 test_acc=0.0930 lr=0.097977
epoch=12 train_loss=3.7769 test_acc=0.0971 lr=0.097095
epoch=13 train_loss=3.6871 test_acc=0.1193 lr=0.096060
epoch=14 train_loss=3.5938 test_acc=0.1175 lr=0.094875
epoch=15 train_loss=3.5086 test_acc=0.1369 lr=0.093544
epoch=16 train_loss=3.4203 test_acc=0.1206 lr=0.092071
epoch=17 train_loss=3.3347 test_acc=0.1611 lr=0.090460
epoch=18 train_loss=3.2510 test_acc=0.1641 lr=0.088718
epoch=19 train_loss=3.1669 test_acc=0.1738 lr=0.086850
epoch=20 train_loss=3.0978 test_acc=0.2003 lr=0.084862
epoch=21 train_loss=3.0297 test_acc=0.1857 lr=0.082760
epoch=22 train_loss=2.9731 test_acc=0.2234 lr=0.080552
epoch=23 train_loss=2.9143 test_acc=0.2155 lr=0.078244
epoch=24 train_loss=2.8665 test_acc=0.2435 lr=0.075844
epoch=25 train_loss=2.8136 test_acc=0.2336 lr=0.073360
epoch=26 train_loss=2.7729 test_acc=0.2588 lr=0.070800
epoch=27 train_loss=2.7270 test_acc=0.2568 lr=0.068172
epoch=28 train_loss=2.6761 test_acc=0.2808 lr=0.065485
epoch=29 train_loss=2.6441 test_acc=0.2720 lr=0.062748
epoch=30 train_loss=2.6049 test_acc=0.2974 lr=0.059970
epoch=31 train_loss=2.5548 test_acc=0.3003 lr=0.057159
epoch=32 train_loss=2.4994 test_acc=0.2941 lr=0.054324
epoch=33 train_loss=2.4732 test_acc=0.2982 lr=0.051476
epoch=34 train_loss=2.4371 test_acc=0.3189 lr=0.048624
epoch=35 train_loss=2.3955 test_acc=0.3539 lr=0.045776
epoch=36 train_loss=2.3516 test_acc=0.3051 lr=0.042941
epoch=37 train_loss=2.3153 test_acc=0.3572 lr=0.040130
epoch=38 train_loss=2.2757 test_acc=0.3410 lr=0.037352
epoch=39 train_loss=2.2411 test_acc=0.3893 lr=0.034615
epoch=40 train_loss=2.1962 test_acc=0.3444 lr=0.031928
epoch=41 train_loss=2.1647 test_acc=0.3636 lr=0.029300
epoch=42 train_loss=2.1190 test_acc=0.3758 lr=0.026740
epoch=43 train_loss=2.0855 test_acc=0.4242 lr=0.024256
epoch=44 train_loss=2.0447 test_acc=0.4216 lr=0.021856
epoch=45 train_loss=2.0081 test_acc=0.4292 lr=0.019548
epoch=46 train_loss=1.9718 test_acc=0.4263 lr=0.017340
epoch=47 train_loss=1.9340 test_acc=0.4328 lr=0.015238
epoch=48 train_loss=1.9002 test_acc=0.4355 lr=0.013250
epoch=49 train_loss=1.8620 test_acc=0.4551 lr=0.011382
epoch=50 train_loss=1.8388 test_acc=0.4534 lr=0.009640
epoch=51 train_loss=1.8021 test_acc=0.4679 lr=0.008029
epoch=52 train_loss=1.7672 test_acc=0.4760 lr=0.006556
epoch=53 train_loss=1.7398 test_acc=0.4874 lr=0.005225
epoch=54 train_loss=1.7123 test_acc=0.4910 lr=0.004040
epoch=55 train_loss=1.6899 test_acc=0.4962 lr=0.003005
epoch=56 train_loss=1.6761 test_acc=0.5001 lr=0.002123
epoch=57 train_loss=1.6594 test_acc=0.5028 lr=0.001398
epoch=58 train_loss=1.6489 test_acc=0.5043 lr=0.000832
epoch=59 train_loss=1.6474 test_acc=0.5052 lr=0.000426
epoch=60 train_loss=1.6332 test_acc=0.5049 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_both.csv
