使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=3.9206 test_acc=0.1590 lr=0.020000
epoch=2 train_loss=3.2983 test_acc=0.2256 lr=0.040000
epoch=3 train_loss=2.7781 test_acc=0.3264 lr=0.060000
epoch=4 train_loss=2.3945 test_acc=0.3861 lr=0.080000
epoch=5 train_loss=2.1503 test_acc=0.3969 lr=0.100000
epoch=6 train_loss=1.9050 test_acc=0.3839 lr=0.100000
epoch=7 train_loss=1.7597 test_acc=0.4609 lr=0.099919
epoch=8 train_loss=1.6392 test_acc=0.4818 lr=0.099674
epoch=9 train_loss=1.5514 test_acc=0.4786 lr=0.099268
epoch=10 train_loss=1.4801 test_acc=0.5136 lr=0.098702
epoch=11 train_loss=1.4115 test_acc=0.5083 lr=0.097977
epoch=12 train_loss=1.3628 test_acc=0.5285 lr=0.097095
epoch=13 train_loss=1.3187 test_acc=0.5577 lr=0.096060
epoch=14 train_loss=1.2736 test_acc=0.5283 lr=0.094875
epoch=15 train_loss=1.2318 test_acc=0.5352 lr=0.093544
epoch=16 train_loss=1.1968 test_acc=0.4812 lr=0.092071
epoch=17 train_loss=1.1441 test_acc=0.5218 lr=0.090460
epoch=18 train_loss=1.1254 test_acc=0.5261 lr=0.088718
epoch=19 train_loss=1.0772 test_acc=0.4943 lr=0.086850
epoch=20 train_loss=1.0521 test_acc=0.5689 lr=0.084862
epoch=21 train_loss=1.0085 test_acc=0.5392 lr=0.082760
epoch=22 train_loss=0.9798 test_acc=0.5177 lr=0.080552
epoch=23 train_loss=0.9333 test_acc=0.5765 lr=0.078244
epoch=24 train_loss=0.9175 test_acc=0.5830 lr=0.075844
epoch=25 train_loss=0.8681 test_acc=0.5776 lr=0.073360
epoch=26 train_loss=0.8336 test_acc=0.5991 lr=0.070800
epoch=27 train_loss=0.8001 test_acc=0.5961 lr=0.068172
epoch=28 train_loss=0.7688 test_acc=0.5751 lr=0.065485
epoch=29 train_loss=0.7248 test_acc=0.5831 lr=0.062748
epoch=30 train_loss=0.6873 test_acc=0.5996 lr=0.059970
epoch=31 train_loss=0.6563 test_acc=0.5853 lr=0.057159
epoch=32 train_loss=0.6120 test_acc=0.5834 lr=0.054324
epoch=33 train_loss=0.5665 test_acc=0.6140 lr=0.051476
epoch=34 train_loss=0.5230 test_acc=0.5845 lr=0.048624
epoch=35 train_loss=0.4811 test_acc=0.6224 lr=0.045776
epoch=36 train_loss=0.4327 test_acc=0.6126 lr=0.042941
epoch=37 train_loss=0.3893 test_acc=0.6315 lr=0.040130
epoch=38 train_loss=0.3501 test_acc=0.6489 lr=0.037352
epoch=39 train_loss=0.3013 test_acc=0.6524 lr=0.034615
epoch=40 train_loss=0.2611 test_acc=0.6291 lr=0.031928
epoch=41 train_loss=0.2323 test_acc=0.6566 lr=0.029300
epoch=42 train_loss=0.1927 test_acc=0.6633 lr=0.026740
epoch=43 train_loss=0.1590 test_acc=0.6691 lr=0.024256
epoch=44 train_loss=0.1317 test_acc=0.6809 lr=0.021856
epoch=45 train_loss=0.1059 test_acc=0.6851 lr=0.019548
epoch=46 train_loss=0.0867 test_acc=0.6802 lr=0.017340
epoch=47 train_loss=0.0728 test_acc=0.6885 lr=0.015238
epoch=48 train_loss=0.0607 test_acc=0.6885 lr=0.013250
epoch=49 train_loss=0.0530 test_acc=0.6978 lr=0.011382
epoch=50 train_loss=0.0448 test_acc=0.6993 lr=0.009640
epoch=51 train_loss=0.0406 test_acc=0.7029 lr=0.008029
epoch=52 train_loss=0.0379 test_acc=0.6999 lr=0.006556
epoch=53 train_loss=0.0344 test_acc=0.7042 lr=0.005225
epoch=54 train_loss=0.0314 test_acc=0.7048 lr=0.004040
epoch=55 train_loss=0.0294 test_acc=0.7050 lr=0.003005
epoch=56 train_loss=0.0305 test_acc=0.7054 lr=0.002123
epoch=57 train_loss=0.0288 test_acc=0.7059 lr=0.001398
epoch=58 train_loss=0.0281 test_acc=0.7068 lr=0.000832
epoch=59 train_loss=0.0276 test_acc=0.7068 lr=0.000426
epoch=60 train_loss=0.0281 test_acc=0.7060 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_integral.csv
