使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=4.3672 test_acc=0.1493 lr=0.020000
epoch=2 train_loss=3.4593 test_acc=0.2356 lr=0.040000
epoch=3 train_loss=2.9339 test_acc=0.2998 lr=0.060000
epoch=4 train_loss=2.4807 test_acc=0.3520 lr=0.080000
epoch=5 train_loss=2.2131 test_acc=0.4115 lr=0.100000
epoch=6 train_loss=1.9028 test_acc=0.4594 lr=0.100000
epoch=7 train_loss=1.7117 test_acc=0.4665 lr=0.099919
epoch=8 train_loss=1.5834 test_acc=0.4957 lr=0.099674
epoch=9 train_loss=1.4743 test_acc=0.5228 lr=0.099268
epoch=10 train_loss=1.3940 test_acc=0.5128 lr=0.098702
epoch=11 train_loss=1.3193 test_acc=0.5570 lr=0.097977
epoch=12 train_loss=1.2691 test_acc=0.5354 lr=0.097095
epoch=13 train_loss=1.2182 test_acc=0.5540 lr=0.096060
epoch=14 train_loss=1.1778 test_acc=0.5722 lr=0.094875
epoch=15 train_loss=1.1266 test_acc=0.5490 lr=0.093544
epoch=16 train_loss=1.0936 test_acc=0.5755 lr=0.092071
epoch=17 train_loss=1.0558 test_acc=0.5397 lr=0.090460
epoch=18 train_loss=1.0234 test_acc=0.5830 lr=0.088718
epoch=19 train_loss=0.9937 test_acc=0.5844 lr=0.086850
epoch=20 train_loss=0.9543 test_acc=0.5896 lr=0.084862
epoch=21 train_loss=0.9302 test_acc=0.5763 lr=0.082760
epoch=22 train_loss=0.8973 test_acc=0.5944 lr=0.080552
epoch=23 train_loss=0.8480 test_acc=0.6021 lr=0.078244
epoch=24 train_loss=0.8303 test_acc=0.6022 lr=0.075844
epoch=25 train_loss=0.7925 test_acc=0.5810 lr=0.073360
epoch=26 train_loss=0.7679 test_acc=0.6045 lr=0.070800
epoch=27 train_loss=0.7301 test_acc=0.6067 lr=0.068172
epoch=28 train_loss=0.7064 test_acc=0.6298 lr=0.065485
epoch=29 train_loss=0.6696 test_acc=0.6266 lr=0.062748
epoch=30 train_loss=0.6437 test_acc=0.6230 lr=0.059970
epoch=31 train_loss=0.6028 test_acc=0.6377 lr=0.057159
epoch=32 train_loss=0.5571 test_acc=0.6388 lr=0.054324
epoch=33 train_loss=0.5311 test_acc=0.6470 lr=0.051476
epoch=34 train_loss=0.4940 test_acc=0.6468 lr=0.048624
epoch=35 train_loss=0.4568 test_acc=0.6413 lr=0.045776
epoch=36 train_loss=0.4284 test_acc=0.6487 lr=0.042941
epoch=37 train_loss=0.3827 test_acc=0.6547 lr=0.040130
epoch=38 train_loss=0.3575 test_acc=0.6561 lr=0.037352
epoch=39 train_loss=0.3124 test_acc=0.6566 lr=0.034615
epoch=40 train_loss=0.2749 test_acc=0.6718 lr=0.031928
epoch=41 train_loss=0.2452 test_acc=0.6735 lr=0.029300
epoch=42 train_loss=0.2108 test_acc=0.6836 lr=0.026740
epoch=43 train_loss=0.1824 test_acc=0.6802 lr=0.024256
epoch=44 train_loss=0.1578 test_acc=0.6826 lr=0.021856
epoch=45 train_loss=0.1295 test_acc=0.6905 lr=0.019548
epoch=46 train_loss=0.1116 test_acc=0.7014 lr=0.017340
epoch=47 train_loss=0.0937 test_acc=0.7020 lr=0.015238
epoch=48 train_loss=0.0802 test_acc=0.7039 lr=0.013250
epoch=49 train_loss=0.0717 test_acc=0.7037 lr=0.011382
epoch=50 train_loss=0.0610 test_acc=0.7071 lr=0.009640
epoch=51 train_loss=0.0539 test_acc=0.7086 lr=0.008029
epoch=52 train_loss=0.0503 test_acc=0.7103 lr=0.006556
epoch=53 train_loss=0.0459 test_acc=0.7101 lr=0.005225
epoch=54 train_loss=0.0412 test_acc=0.7111 lr=0.004040
epoch=55 train_loss=0.0400 test_acc=0.7121 lr=0.003005
epoch=56 train_loss=0.0384 test_acc=0.7125 lr=0.002123
epoch=57 train_loss=0.0370 test_acc=0.7138 lr=0.001398
epoch=58 train_loss=0.0362 test_acc=0.7146 lr=0.000832
epoch=59 train_loss=0.0358 test_acc=0.7141 lr=0.000426
epoch=60 train_loss=0.0360 test_acc=0.7152 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_pid_full.csv
