使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=4.2935 test_acc=0.1480 lr=0.020000
epoch=2 train_loss=3.5019 test_acc=0.2352 lr=0.040000
epoch=3 train_loss=2.9566 test_acc=0.3153 lr=0.060000
epoch=4 train_loss=2.4946 test_acc=0.3497 lr=0.080000
epoch=5 train_loss=2.1720 test_acc=0.3971 lr=0.100000
epoch=6 train_loss=1.8824 test_acc=0.4352 lr=0.100000
epoch=7 train_loss=1.7030 test_acc=0.4789 lr=0.099919
epoch=8 train_loss=1.5600 test_acc=0.5218 lr=0.099674
epoch=9 train_loss=1.4490 test_acc=0.5173 lr=0.099268
epoch=10 train_loss=1.3682 test_acc=0.5354 lr=0.098702
epoch=11 train_loss=1.3072 test_acc=0.5174 lr=0.097977
epoch=12 train_loss=1.2392 test_acc=0.5465 lr=0.097095
epoch=13 train_loss=1.2032 test_acc=0.5499 lr=0.096060
epoch=14 train_loss=1.1341 test_acc=0.5863 lr=0.094875
epoch=15 train_loss=1.1055 test_acc=0.5755 lr=0.093544
epoch=16 train_loss=1.0755 test_acc=0.5805 lr=0.092071
epoch=17 train_loss=1.0315 test_acc=0.5813 lr=0.090460
epoch=18 train_loss=0.9978 test_acc=0.6037 lr=0.088718
epoch=19 train_loss=0.9635 test_acc=0.5591 lr=0.086850
epoch=20 train_loss=0.9348 test_acc=0.6093 lr=0.084862
epoch=21 train_loss=0.8930 test_acc=0.5887 lr=0.082760
epoch=22 train_loss=0.8650 test_acc=0.6240 lr=0.080552
epoch=23 train_loss=0.8421 test_acc=0.5931 lr=0.078244
epoch=24 train_loss=0.7970 test_acc=0.5962 lr=0.075844
epoch=25 train_loss=0.7674 test_acc=0.5856 lr=0.073360
epoch=26 train_loss=0.7416 test_acc=0.6131 lr=0.070800
epoch=27 train_loss=0.7199 test_acc=0.6042 lr=0.068172
epoch=28 train_loss=0.6822 test_acc=0.6080 lr=0.065485
epoch=29 train_loss=0.6562 test_acc=0.5838 lr=0.062748
epoch=30 train_loss=0.6272 test_acc=0.6346 lr=0.059970
epoch=31 train_loss=0.5822 test_acc=0.6280 lr=0.057159
epoch=32 train_loss=0.5529 test_acc=0.6063 lr=0.054324
epoch=33 train_loss=0.5213 test_acc=0.6193 lr=0.051476
epoch=34 train_loss=0.4943 test_acc=0.6500 lr=0.048624
epoch=35 train_loss=0.4577 test_acc=0.6628 lr=0.045776
epoch=36 train_loss=0.4091 test_acc=0.6618 lr=0.042941
epoch=37 train_loss=0.3779 test_acc=0.6581 lr=0.040130
epoch=38 train_loss=0.3527 test_acc=0.6546 lr=0.037352
epoch=39 train_loss=0.3098 test_acc=0.6647 lr=0.034615
epoch=40 train_loss=0.2791 test_acc=0.6759 lr=0.031928
epoch=41 train_loss=0.2451 test_acc=0.6714 lr=0.029300
epoch=42 train_loss=0.2192 test_acc=0.6826 lr=0.026740
epoch=43 train_loss=0.1907 test_acc=0.6881 lr=0.024256
epoch=44 train_loss=0.1573 test_acc=0.6955 lr=0.021856
epoch=45 train_loss=0.1316 test_acc=0.6956 lr=0.019548
epoch=46 train_loss=0.1162 test_acc=0.7038 lr=0.017340
epoch=47 train_loss=0.0945 test_acc=0.7047 lr=0.015238
epoch=48 train_loss=0.0832 test_acc=0.7071 lr=0.013250
epoch=49 train_loss=0.0730 test_acc=0.7145 lr=0.011382
epoch=50 train_loss=0.0659 test_acc=0.7117 lr=0.009640
epoch=51 train_loss=0.0576 test_acc=0.7193 lr=0.008029
epoch=52 train_loss=0.0513 test_acc=0.7191 lr=0.006556
epoch=53 train_loss=0.0490 test_acc=0.7178 lr=0.005225
epoch=54 train_loss=0.0457 test_acc=0.7167 lr=0.004040
epoch=55 train_loss=0.0440 test_acc=0.7197 lr=0.003005
epoch=56 train_loss=0.0406 test_acc=0.7210 lr=0.002123
epoch=57 train_loss=0.0402 test_acc=0.7209 lr=0.001398
epoch=58 train_loss=0.0389 test_acc=0.7219 lr=0.000832
epoch=59 train_loss=0.0382 test_acc=0.7225 lr=0.000426
epoch=60 train_loss=0.0381 test_acc=0.7215 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_residual.csv
