使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=4.6056 test_acc=0.0116 lr=0.020000
epoch=2 train_loss=4.6009 test_acc=0.0207 lr=0.040000
epoch=3 train_loss=4.5828 test_acc=0.0229 lr=0.060000
epoch=4 train_loss=4.5317 test_acc=0.0295 lr=0.080000
epoch=5 train_loss=4.4458 test_acc=0.0394 lr=0.100000
epoch=6 train_loss=4.3345 test_acc=0.0525 lr=0.100000
epoch=7 train_loss=4.2152 test_acc=0.0622 lr=0.099919
epoch=8 train_loss=4.1073 test_acc=0.0632 lr=0.099674
epoch=9 train_loss=4.0233 test_acc=0.0774 lr=0.099268
epoch=10 train_loss=3.9545 test_acc=0.0864 lr=0.098702
epoch=11 train_loss=3.8786 test_acc=0.0955 lr=0.097977
epoch=12 train_loss=3.8074 test_acc=0.0993 lr=0.097095
epoch=13 train_loss=3.7487 test_acc=0.1077 lr=0.096060
epoch=14 train_loss=3.6840 test_acc=0.1136 lr=0.094875
epoch=15 train_loss=3.6281 test_acc=0.1234 lr=0.093544
epoch=16 train_loss=3.5607 test_acc=0.1146 lr=0.092071
epoch=17 train_loss=3.4966 test_acc=0.1206 lr=0.090460
epoch=18 train_loss=3.4251 test_acc=0.1324 lr=0.088718
epoch=19 train_loss=3.3510 test_acc=0.1417 lr=0.086850
epoch=20 train_loss=3.2717 test_acc=0.1797 lr=0.084862
epoch=21 train_loss=3.1888 test_acc=0.1757 lr=0.082760
epoch=22 train_loss=3.1036 test_acc=0.1711 lr=0.080552
epoch=23 train_loss=3.0264 test_acc=0.2025 lr=0.078244
epoch=24 train_loss=2.9575 test_acc=0.1952 lr=0.075844
epoch=25 train_loss=2.8910 test_acc=0.1879 lr=0.073360
epoch=26 train_loss=2.8269 test_acc=0.2322 lr=0.070800
epoch=27 train_loss=2.7755 test_acc=0.1693 lr=0.068172
epoch=28 train_loss=2.7232 test_acc=0.2465 lr=0.065485
epoch=29 train_loss=2.6635 test_acc=0.2613 lr=0.062748
epoch=30 train_loss=2.6191 test_acc=0.2479 lr=0.059970
epoch=31 train_loss=2.5674 test_acc=0.2760 lr=0.057159
epoch=32 train_loss=2.5247 test_acc=0.2199 lr=0.054324
epoch=33 train_loss=2.4773 test_acc=0.2661 lr=0.051476
epoch=34 train_loss=2.4307 test_acc=0.3390 lr=0.048624
epoch=35 train_loss=2.3870 test_acc=0.3287 lr=0.045776
epoch=36 train_loss=2.3439 test_acc=0.2636 lr=0.042941
epoch=37 train_loss=2.2953 test_acc=0.3290 lr=0.040130
epoch=38 train_loss=2.2594 test_acc=0.3341 lr=0.037352
epoch=39 train_loss=2.2325 test_acc=0.3270 lr=0.034615
epoch=40 train_loss=2.1900 test_acc=0.3328 lr=0.031928
epoch=41 train_loss=2.1472 test_acc=0.3205 lr=0.029300
epoch=42 train_loss=2.1061 test_acc=0.3705 lr=0.026740
epoch=43 train_loss=2.0630 test_acc=0.3888 lr=0.024256
epoch=44 train_loss=2.0367 test_acc=0.4048 lr=0.021856
epoch=45 train_loss=1.9949 test_acc=0.4157 lr=0.019548
epoch=46 train_loss=1.9599 test_acc=0.4223 lr=0.017340
epoch=47 train_loss=1.9222 test_acc=0.4333 lr=0.015238
epoch=48 train_loss=1.8817 test_acc=0.4516 lr=0.013250
epoch=49 train_loss=1.8500 test_acc=0.4470 lr=0.011382
epoch=50 train_loss=1.8161 test_acc=0.4698 lr=0.009640
epoch=51 train_loss=1.7844 test_acc=0.4728 lr=0.008029
epoch=52 train_loss=1.7521 test_acc=0.4770 lr=0.006556
epoch=53 train_loss=1.7214 test_acc=0.4845 lr=0.005225
epoch=54 train_loss=1.6977 test_acc=0.4930 lr=0.004040
epoch=55 train_loss=1.6728 test_acc=0.4967 lr=0.003005
epoch=56 train_loss=1.6624 test_acc=0.4965 lr=0.002123
epoch=57 train_loss=1.6425 test_acc=0.5008 lr=0.001398
epoch=58 train_loss=1.6334 test_acc=0.5058 lr=0.000832
epoch=59 train_loss=1.6251 test_acc=0.5030 lr=0.000426
epoch=60 train_loss=1.6182 test_acc=0.5065 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_softmax.csv
