使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=3.9102 test_acc=0.1545 lr=0.020000
epoch=2 train_loss=3.2481 test_acc=0.2243 lr=0.040000
epoch=3 train_loss=2.7783 test_acc=0.2738 lr=0.060000
epoch=4 train_loss=2.4508 test_acc=0.3735 lr=0.080000
epoch=5 train_loss=2.2099 test_acc=0.3572 lr=0.100000
epoch=6 train_loss=2.0015 test_acc=0.4269 lr=0.100000
epoch=7 train_loss=1.8375 test_acc=0.4585 lr=0.099919
epoch=8 train_loss=1.7343 test_acc=0.4673 lr=0.099674
epoch=9 train_loss=1.6416 test_acc=0.4852 lr=0.099268
epoch=10 train_loss=1.5670 test_acc=0.4331 lr=0.098702
epoch=11 train_loss=1.5213 test_acc=0.4854 lr=0.097977
epoch=12 train_loss=1.4659 test_acc=0.4396 lr=0.097095
epoch=13 train_loss=1.4118 test_acc=0.4813 lr=0.096060
epoch=14 train_loss=1.3738 test_acc=0.4497 lr=0.094875
epoch=15 train_loss=1.3369 test_acc=0.4070 lr=0.093544
epoch=16 train_loss=1.2988 test_acc=0.5345 lr=0.092071
epoch=17 train_loss=1.2661 test_acc=0.4947 lr=0.090460
epoch=18 train_loss=1.2271 test_acc=0.4018 lr=0.088718
epoch=19 train_loss=1.2066 test_acc=0.5019 lr=0.086850
epoch=20 train_loss=1.1622 test_acc=0.5083 lr=0.084862
epoch=21 train_loss=1.1377 test_acc=0.5324 lr=0.082760
epoch=22 train_loss=1.1052 test_acc=0.5108 lr=0.080552
epoch=23 train_loss=1.0726 test_acc=0.5172 lr=0.078244
epoch=24 train_loss=1.0416 test_acc=0.5312 lr=0.075844
epoch=25 train_loss=1.0088 test_acc=0.5116 lr=0.073360
epoch=26 train_loss=0.9827 test_acc=0.5329 lr=0.070800
epoch=27 train_loss=0.9541 test_acc=0.5124 lr=0.068172
epoch=28 train_loss=0.9127 test_acc=0.5291 lr=0.065485
epoch=29 train_loss=0.8742 test_acc=0.5267 lr=0.062748
epoch=30 train_loss=0.8490 test_acc=0.5554 lr=0.059970
epoch=31 train_loss=0.8118 test_acc=0.5727 lr=0.057159
epoch=32 train_loss=0.7811 test_acc=0.5739 lr=0.054324
epoch=33 train_loss=0.7365 test_acc=0.5886 lr=0.051476
epoch=34 train_loss=0.7184 test_acc=0.5911 lr=0.048624
epoch=35 train_loss=0.6649 test_acc=0.5181 lr=0.045776
epoch=36 train_loss=0.6410 test_acc=0.5845 lr=0.042941
epoch=37 train_loss=0.5956 test_acc=0.5977 lr=0.040130
epoch=38 train_loss=0.5419 test_acc=0.5903 lr=0.037352
epoch=39 train_loss=0.5101 test_acc=0.5858 lr=0.034615
epoch=40 train_loss=0.4804 test_acc=0.5841 lr=0.031928
epoch=41 train_loss=0.4421 test_acc=0.6238 lr=0.029300
epoch=42 train_loss=0.3870 test_acc=0.6112 lr=0.026740
epoch=43 train_loss=0.3483 test_acc=0.6196 lr=0.024256
epoch=44 train_loss=0.3068 test_acc=0.6213 lr=0.021856
epoch=45 train_loss=0.2613 test_acc=0.6342 lr=0.019548
epoch=46 train_loss=0.2260 test_acc=0.6479 lr=0.017340
epoch=47 train_loss=0.1857 test_acc=0.6431 lr=0.015238
epoch=48 train_loss=0.1596 test_acc=0.6520 lr=0.013250
epoch=49 train_loss=0.1340 test_acc=0.6516 lr=0.011382
epoch=50 train_loss=0.1123 test_acc=0.6624 lr=0.009640
epoch=51 train_loss=0.0880 test_acc=0.6622 lr=0.008029
epoch=52 train_loss=0.0695 test_acc=0.6669 lr=0.006556
epoch=53 train_loss=0.0575 test_acc=0.6727 lr=0.005225
epoch=54 train_loss=0.0440 test_acc=0.6741 lr=0.004040
epoch=55 train_loss=0.0350 test_acc=0.6810 lr=0.003005
epoch=56 train_loss=0.0325 test_acc=0.6797 lr=0.002123
epoch=57 train_loss=0.0267 test_acc=0.6812 lr=0.001398
epoch=58 train_loss=0.0222 test_acc=0.6813 lr=0.000832
epoch=59 train_loss=0.0238 test_acc=0.6821 lr=0.000426
epoch=60 train_loss=0.0189 test_acc=0.6825 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_sumnorm.csv
