使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=3.7216 test_acc=0.2128 lr=0.020000
epoch=2 train_loss=2.9122 test_acc=0.2867 lr=0.040000
epoch=3 train_loss=2.4290 test_acc=0.3786 lr=0.060000
epoch=4 train_loss=2.1569 test_acc=0.3690 lr=0.080000
epoch=5 train_loss=1.9849 test_acc=0.4378 lr=0.100000
epoch=6 train_loss=1.7952 test_acc=0.4340 lr=0.100000
epoch=7 train_loss=1.6659 test_acc=0.4298 lr=0.099919
epoch=8 train_loss=1.5615 test_acc=0.4915 lr=0.099674
epoch=9 train_loss=1.4801 test_acc=0.4823 lr=0.099268
epoch=10 train_loss=1.4106 test_acc=0.5285 lr=0.098702
epoch=11 train_loss=1.3488 test_acc=0.4981 lr=0.097977
epoch=12 train_loss=1.3015 test_acc=0.5408 lr=0.097095
epoch=13 train_loss=1.2516 test_acc=0.5328 lr=0.096060
epoch=14 train_loss=1.2142 test_acc=0.5645 lr=0.094875
epoch=15 train_loss=1.1741 test_acc=0.5480 lr=0.093544
epoch=16 train_loss=1.1362 test_acc=0.5406 lr=0.092071
epoch=17 train_loss=1.0903 test_acc=0.5553 lr=0.090460
epoch=18 train_loss=1.0706 test_acc=0.5725 lr=0.088718
epoch=19 train_loss=1.0258 test_acc=0.5606 lr=0.086850
epoch=20 train_loss=0.9992 test_acc=0.5736 lr=0.084862
epoch=21 train_loss=0.9728 test_acc=0.5544 lr=0.082760
epoch=22 train_loss=0.9288 test_acc=0.5843 lr=0.080552
epoch=23 train_loss=0.9033 test_acc=0.5611 lr=0.078244
epoch=24 train_loss=0.8733 test_acc=0.5871 lr=0.075844
epoch=25 train_loss=0.8457 test_acc=0.5993 lr=0.073360
epoch=26 train_loss=0.8046 test_acc=0.5997 lr=0.070800
epoch=27 train_loss=0.7831 test_acc=0.5817 lr=0.068172
epoch=28 train_loss=0.7453 test_acc=0.5948 lr=0.065485
epoch=29 train_loss=0.7289 test_acc=0.5908 lr=0.062748
epoch=30 train_loss=0.6871 test_acc=0.5863 lr=0.059970
epoch=31 train_loss=0.6527 test_acc=0.5969 lr=0.057159
epoch=32 train_loss=0.6215 test_acc=0.6068 lr=0.054324
epoch=33 train_loss=0.5778 test_acc=0.5984 lr=0.051476
epoch=34 train_loss=0.5508 test_acc=0.5964 lr=0.048624
epoch=35 train_loss=0.5115 test_acc=0.6161 lr=0.045776
epoch=36 train_loss=0.4708 test_acc=0.6120 lr=0.042941
epoch=37 train_loss=0.4392 test_acc=0.6180 lr=0.040130
epoch=38 train_loss=0.4127 test_acc=0.6303 lr=0.037352
epoch=39 train_loss=0.3687 test_acc=0.6123 lr=0.034615
epoch=40 train_loss=0.3297 test_acc=0.6270 lr=0.031928
epoch=41 train_loss=0.2909 test_acc=0.6375 lr=0.029300
epoch=42 train_loss=0.2608 test_acc=0.6282 lr=0.026740
epoch=43 train_loss=0.2436 test_acc=0.6429 lr=0.024256
epoch=44 train_loss=0.1952 test_acc=0.6381 lr=0.021856
epoch=45 train_loss=0.1732 test_acc=0.6500 lr=0.019548
epoch=46 train_loss=0.1450 test_acc=0.6468 lr=0.017340
epoch=47 train_loss=0.1159 test_acc=0.6566 lr=0.015238
epoch=48 train_loss=0.0940 test_acc=0.6601 lr=0.013250
epoch=49 train_loss=0.0814 test_acc=0.6680 lr=0.011382
epoch=50 train_loss=0.0646 test_acc=0.6643 lr=0.009640
epoch=51 train_loss=0.0517 test_acc=0.6716 lr=0.008029
epoch=52 train_loss=0.0400 test_acc=0.6732 lr=0.006556
epoch=53 train_loss=0.0323 test_acc=0.6745 lr=0.005225
epoch=54 train_loss=0.0255 test_acc=0.6760 lr=0.004040
epoch=55 train_loss=0.0226 test_acc=0.6758 lr=0.003005
epoch=56 train_loss=0.0185 test_acc=0.6785 lr=0.002123
epoch=57 train_loss=0.0171 test_acc=0.6811 lr=0.001398
epoch=58 train_loss=0.0148 test_acc=0.6832 lr=0.000832
epoch=59 train_loss=0.0127 test_acc=0.6829 lr=0.000426
epoch=60 train_loss=0.0134 test_acc=0.6823 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep8_sumnorm_residual.csv
