使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=4.4263 test_acc=0.0341 lr=0.020000
epoch=2 train_loss=4.1056 test_acc=0.0640 lr=0.040000
epoch=3 train_loss=3.8643 test_acc=0.1026 lr=0.060000
epoch=4 train_loss=3.6816 test_acc=0.1232 lr=0.080000
epoch=5 train_loss=3.4980 test_acc=0.1454 lr=0.100000
epoch=6 train_loss=3.2461 test_acc=0.1741 lr=0.100000
epoch=7 train_loss=3.0035 test_acc=0.2120 lr=0.099973
epoch=8 train_loss=2.7945 test_acc=0.2080 lr=0.099891
epoch=9 train_loss=2.6290 test_acc=0.2468 lr=0.099754
epoch=10 train_loss=2.4823 test_acc=0.2700 lr=0.099564
epoch=11 train_loss=2.3507 test_acc=0.2943 lr=0.099319
epoch=12 train_loss=2.2536 test_acc=0.2905 lr=0.099020
epoch=13 train_loss=2.1770 test_acc=0.3031 lr=0.098668
epoch=14 train_loss=2.1084 test_acc=0.3202 lr=0.098262
epoch=15 train_loss=2.0362 test_acc=0.2886 lr=0.097804
epoch=16 train_loss=1.9779 test_acc=0.3088 lr=0.097294
epoch=17 train_loss=1.9246 test_acc=0.3368 lr=0.096731
epoch=18 train_loss=1.8735 test_acc=0.3410 lr=0.096118
epoch=19 train_loss=1.8407 test_acc=0.4112 lr=0.095455
epoch=20 train_loss=1.7805 test_acc=0.4044 lr=0.094742
epoch=21 train_loss=1.7622 test_acc=0.2511 lr=0.093980
epoch=22 train_loss=1.7102 test_acc=0.3515 lr=0.093170
epoch=23 train_loss=1.6746 test_acc=0.3985 lr=0.092312
epoch=24 train_loss=1.6599 test_acc=0.4050 lr=0.091409
epoch=25 train_loss=1.6332 test_acc=0.4396 lr=0.090460
epoch=26 train_loss=1.5967 test_acc=0.4565 lr=0.089468
epoch=27 train_loss=1.5721 test_acc=0.3523 lr=0.088432
epoch=28 train_loss=1.5510 test_acc=0.4663 lr=0.087354
epoch=29 train_loss=1.5238 test_acc=0.3888 lr=0.086235
epoch=30 train_loss=1.4856 test_acc=0.3214 lr=0.085077
epoch=31 train_loss=1.4699 test_acc=0.4536 lr=0.083880
