使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=4.6044 test_acc=0.0162 lr=0.020000
epoch=2 train_loss=4.5876 test_acc=0.0111 lr=0.040000
epoch=3 train_loss=4.5458 test_acc=0.0122 lr=0.060000
epoch=4 train_loss=4.5026 test_acc=0.0348 lr=0.080000
epoch=5 train_loss=4.4160 test_acc=0.0317 lr=0.100000
epoch=6 train_loss=4.3276 test_acc=0.0405 lr=0.100000
epoch=7 train_loss=4.2503 test_acc=0.0421 lr=0.099973
epoch=8 train_loss=4.2084 test_acc=0.0459 lr=0.099891
epoch=9 train_loss=4.1802 test_acc=0.0483 lr=0.099754
epoch=10 train_loss=4.1525 test_acc=0.0504 lr=0.099564
epoch=11 train_loss=4.1226 test_acc=0.0503 lr=0.099319
epoch=12 train_loss=4.0971 test_acc=0.0520 lr=0.099020
epoch=13 train_loss=4.0768 test_acc=0.0549 lr=0.098668
epoch=14 train_loss=4.0603 test_acc=0.0585 lr=0.098262
epoch=15 train_loss=4.0356 test_acc=0.0562 lr=0.097804
epoch=16 train_loss=4.0102 test_acc=0.0588 lr=0.097294
epoch=17 train_loss=3.9675 test_acc=0.0746 lr=0.096731
epoch=18 train_loss=3.9327 test_acc=0.0642 lr=0.096118
epoch=19 train_loss=3.9011 test_acc=0.0611 lr=0.095455
epoch=20 train_loss=3.8654 test_acc=0.0701 lr=0.094742
epoch=21 train_loss=3.8246 test_acc=0.0835 lr=0.093980
epoch=22 train_loss=3.7835 test_acc=0.0806 lr=0.093170
epoch=23 train_loss=3.7316 test_acc=0.0689 lr=0.092312
epoch=24 train_loss=3.6975 test_acc=0.0949 lr=0.091409
epoch=25 train_loss=3.6526 test_acc=0.1143 lr=0.090460
epoch=26 train_loss=3.5972 test_acc=0.0975 lr=0.089468
epoch=27 train_loss=3.5585 test_acc=0.1241 lr=0.088432
epoch=28 train_loss=3.4982 test_acc=0.1234 lr=0.087354
epoch=29 train_loss=3.4507 test_acc=0.1325 lr=0.086235
epoch=30 train_loss=3.3886 test_acc=0.1430 lr=0.085077
epoch=31 train_loss=3.3418 test_acc=0.1231 lr=0.083880
epoch=32 train_loss=3.2882 test_acc=0.1366 lr=0.082647
epoch=33 train_loss=3.2404 test_acc=0.1596 lr=0.081377
epoch=34 train_loss=3.1978 test_acc=0.1666 lr=0.080074
epoch=35 train_loss=3.1559 test_acc=0.1522 lr=0.078738
epoch=36 train_loss=3.1063 test_acc=0.1398 lr=0.077370
epoch=37 train_loss=3.0754 test_acc=0.1912 lr=0.075973
epoch=38 train_loss=3.0331 test_acc=0.1978 lr=0.074547
epoch=39 train_loss=3.0061 test_acc=0.1495 lr=0.073094
epoch=40 train_loss=2.9762 test_acc=0.2107 lr=0.071616
epoch=41 train_loss=2.9356 test_acc=0.1771 lr=0.070115
epoch=42 train_loss=2.9033 test_acc=0.2190 lr=0.068591
epoch=43 train_loss=2.8844 test_acc=0.2252 lr=0.067048
epoch=44 train_loss=2.8368 test_acc=0.2091 lr=0.065485
epoch=45 train_loss=2.8110 test_acc=0.2376 lr=0.063906
epoch=46 train_loss=2.7937 test_acc=0.2487 lr=0.062312
epoch=47 train_loss=2.7665 test_acc=0.2179 lr=0.060704
epoch=48 train_loss=2.7350 test_acc=0.2695 lr=0.059085
epoch=49 train_loss=2.7007 test_acc=0.2850 lr=0.057456
epoch=50 train_loss=2.6740 test_acc=0.2550 lr=0.055818
