使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=4.2278 test_acc=0.1042 lr=0.020000
epoch=2 train_loss=3.6764 test_acc=0.1465 lr=0.040000
epoch=3 train_loss=3.3125 test_acc=0.2228 lr=0.060000
epoch=4 train_loss=2.9901 test_acc=0.2503 lr=0.080000
epoch=5 train_loss=2.6385 test_acc=0.3369 lr=0.100000
epoch=6 train_loss=2.3335 test_acc=0.3757 lr=0.100000
epoch=7 train_loss=2.0979 test_acc=0.3975 lr=0.099973
epoch=8 train_loss=1.9518 test_acc=0.4552 lr=0.099891
epoch=9 train_loss=1.8282 test_acc=0.4389 lr=0.099754
epoch=10 train_loss=1.7262 test_acc=0.4510 lr=0.099564
epoch=11 train_loss=1.6548 test_acc=0.4760 lr=0.099319
epoch=12 train_loss=1.5923 test_acc=0.4528 lr=0.099020
epoch=13 train_loss=1.5410 test_acc=0.4445 lr=0.098668
epoch=14 train_loss=1.4874 test_acc=0.4915 lr=0.098262
epoch=15 train_loss=1.4316 test_acc=0.4722 lr=0.097804
epoch=16 train_loss=1.4039 test_acc=0.5150 lr=0.097294
epoch=17 train_loss=1.3625 test_acc=0.4771 lr=0.096731
epoch=18 train_loss=1.3227 test_acc=0.4385 lr=0.096118
epoch=19 train_loss=1.2930 test_acc=0.4311 lr=0.095455
epoch=20 train_loss=1.2630 test_acc=0.5266 lr=0.094742
epoch=21 train_loss=1.2273 test_acc=0.5025 lr=0.093980
epoch=22 train_loss=1.2116 test_acc=0.5281 lr=0.093170
epoch=23 train_loss=1.1908 test_acc=0.5561 lr=0.092312
epoch=24 train_loss=1.1602 test_acc=0.5197 lr=0.091409
epoch=25 train_loss=1.1321 test_acc=0.5514 lr=0.090460
epoch=26 train_loss=1.0904 test_acc=0.5389 lr=0.089468
epoch=27 train_loss=1.0891 test_acc=0.5348 lr=0.088432
epoch=28 train_loss=1.0592 test_acc=0.5485 lr=0.087354
epoch=29 train_loss=1.0276 test_acc=0.5662 lr=0.086235
epoch=30 train_loss=1.0161 test_acc=0.5642 lr=0.085077
epoch=31 train_loss=0.9978 test_acc=0.5586 lr=0.083880
epoch=32 train_loss=0.9639 test_acc=0.5801 lr=0.082647
epoch=33 train_loss=0.9443 test_acc=0.5579 lr=0.081377
epoch=34 train_loss=0.9282 test_acc=0.5573 lr=0.080074
epoch=35 train_loss=0.8942 test_acc=0.5721 lr=0.078738
epoch=36 train_loss=0.8711 test_acc=0.5720 lr=0.077370
epoch=37 train_loss=0.8631 test_acc=0.5735 lr=0.075973
epoch=38 train_loss=0.8321 test_acc=0.5705 lr=0.074547
epoch=39 train_loss=0.8125 test_acc=0.5795 lr=0.073094
epoch=40 train_loss=0.7964 test_acc=0.5823 lr=0.071616
epoch=41 train_loss=0.7723 test_acc=0.5695 lr=0.070115
epoch=42 train_loss=0.7489 test_acc=0.5887 lr=0.068591
epoch=43 train_loss=0.7287 test_acc=0.5562 lr=0.067048
epoch=44 train_loss=0.7053 test_acc=0.6021 lr=0.065485
epoch=45 train_loss=0.6956 test_acc=0.5821 lr=0.063906
epoch=46 train_loss=0.6612 test_acc=0.6007 lr=0.062312
epoch=47 train_loss=0.6415 test_acc=0.6195 lr=0.060704
epoch=48 train_loss=0.6079 test_acc=0.6153 lr=0.059085
epoch=49 train_loss=0.5921 test_acc=0.5904 lr=0.057456
epoch=50 train_loss=0.5713 test_acc=0.5780 lr=0.055818
epoch=51 train_loss=0.5385 test_acc=0.5968 lr=0.054175
epoch=52 train_loss=0.5037 test_acc=0.6152 lr=0.052527
epoch=53 train_loss=0.4911 test_acc=0.6165 lr=0.050876
epoch=54 train_loss=0.4740 test_acc=0.6146 lr=0.049224
epoch=55 train_loss=0.4483 test_acc=0.6092 lr=0.047573
epoch=56 train_loss=0.3998 test_acc=0.6248 lr=0.045925
epoch=57 train_loss=0.3924 test_acc=0.6280 lr=0.044282
epoch=58 train_loss=0.3696 test_acc=0.6245 lr=0.042644
epoch=59 train_loss=0.3444 test_acc=0.6310 lr=0.041015
epoch=60 train_loss=0.3243 test_acc=0.6327 lr=0.039396
epoch=61 train_loss=0.3033 test_acc=0.6342 lr=0.037788
epoch=62 train_loss=0.2633 test_acc=0.6390 lr=0.036194
epoch=63 train_loss=0.2376 test_acc=0.6547 lr=0.034615
epoch=64 train_loss=0.2283 test_acc=0.6500 lr=0.033052
epoch=65 train_loss=0.1989 test_acc=0.6611 lr=0.031509
epoch=66 train_loss=0.1740 test_acc=0.6580 lr=0.029985
epoch=67 train_loss=0.1572 test_acc=0.6661 lr=0.028484
epoch=68 train_loss=0.1326 test_acc=0.6690 lr=0.027006
epoch=69 train_loss=0.1152 test_acc=0.6779 lr=0.025553
epoch=70 train_loss=0.0969 test_acc=0.6760 lr=0.024127
epoch=71 train_loss=0.0787 test_acc=0.6816 lr=0.022730
epoch=72 train_loss=0.0664 test_acc=0.6866 lr=0.021362
epoch=73 train_loss=0.0556 test_acc=0.6919 lr=0.020026
epoch=74 train_loss=0.0457 test_acc=0.6931 lr=0.018723
epoch=75 train_loss=0.0392 test_acc=0.7033 lr=0.017453
epoch=76 train_loss=0.0355 test_acc=0.6992 lr=0.016220
epoch=77 train_loss=0.0301 test_acc=0.7036 lr=0.015023
epoch=78 train_loss=0.0259 test_acc=0.7071 lr=0.013865
epoch=79 train_loss=0.0232 test_acc=0.7057 lr=0.012746
epoch=80 train_loss=0.0217 test_acc=0.7097 lr=0.011668
epoch=81 train_loss=0.0197 test_acc=0.7106 lr=0.010632
epoch=82 train_loss=0.0187 test_acc=0.7120 lr=0.009640
epoch=83 train_loss=0.0177 test_acc=0.7133 lr=0.008691
epoch=84 train_loss=0.0159 test_acc=0.7121 lr=0.007788
epoch=85 train_loss=0.0154 test_acc=0.7178 lr=0.006930
epoch=86 train_loss=0.0144 test_acc=0.7142 lr=0.006120
epoch=87 train_loss=0.0141 test_acc=0.7184 lr=0.005358
epoch=88 train_loss=0.0131 test_acc=0.7169 lr=0.004645
epoch=89 train_loss=0.0135 test_acc=0.7170 lr=0.003982
epoch=90 train_loss=0.0127 test_acc=0.7178 lr=0.003369
epoch=91 train_loss=0.0127 test_acc=0.7187 lr=0.002806
epoch=92 train_loss=0.0126 test_acc=0.7202 lr=0.002296
epoch=93 train_loss=0.0124 test_acc=0.7194 lr=0.001838
epoch=94 train_loss=0.0122 test_acc=0.7204 lr=0.001432
epoch=95 train_loss=0.0116 test_acc=0.7190 lr=0.001080
epoch=96 train_loss=0.0120 test_acc=0.7193 lr=0.000781
epoch=97 train_loss=0.0116 test_acc=0.7191 lr=0.000536
epoch=98 train_loss=0.0116 test_acc=0.7195 lr=0.000346
epoch=99 train_loss=0.0119 test_acc=0.7195 lr=0.000209
epoch=100 train_loss=0.0116 test_acc=0.7200 lr=0.000127
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep12_integral.csv
