使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=7.4505 test_acc=0.0239 lr=0.020000
epoch=2 train_loss=4.6818 test_acc=0.0598 lr=0.040000
epoch=3 train_loss=4.1403 test_acc=0.0771 lr=0.060000
epoch=4 train_loss=3.8130 test_acc=0.1479 lr=0.080000
epoch=5 train_loss=3.4934 test_acc=0.1889 lr=0.100000
epoch=6 train_loss=3.1016 test_acc=0.2677 lr=0.100000
epoch=7 train_loss=2.8037 test_acc=0.2895 lr=0.099973
epoch=8 train_loss=2.5141 test_acc=0.3640 lr=0.099891
epoch=9 train_loss=2.2636 test_acc=0.3497 lr=0.099754
epoch=10 train_loss=2.0568 test_acc=0.4124 lr=0.099564
epoch=11 train_loss=1.9038 test_acc=0.4590 lr=0.099319
epoch=12 train_loss=1.7578 test_acc=0.4777 lr=0.099020
epoch=13 train_loss=1.6531 test_acc=0.4723 lr=0.098668
epoch=14 train_loss=1.5704 test_acc=0.5134 lr=0.098262
epoch=15 train_loss=1.4921 test_acc=0.5176 lr=0.097804
epoch=16 train_loss=1.4304 test_acc=0.5245 lr=0.097294
epoch=17 train_loss=1.3689 test_acc=0.5238 lr=0.096731
epoch=18 train_loss=1.3186 test_acc=0.5157 lr=0.096118
epoch=19 train_loss=1.2815 test_acc=0.5258 lr=0.095455
epoch=20 train_loss=1.2451 test_acc=0.5371 lr=0.094742
epoch=21 train_loss=1.1897 test_acc=0.5418 lr=0.093980
epoch=22 train_loss=1.1657 test_acc=0.5612 lr=0.093170
epoch=23 train_loss=1.1399 test_acc=0.5433 lr=0.092312
epoch=24 train_loss=1.0953 test_acc=0.5753 lr=0.091409
epoch=25 train_loss=1.0680 test_acc=0.5692 lr=0.090460
epoch=26 train_loss=1.0408 test_acc=0.5809 lr=0.089468
epoch=27 train_loss=1.0205 test_acc=0.6008 lr=0.088432
epoch=28 train_loss=0.9846 test_acc=0.5551 lr=0.087354
epoch=29 train_loss=0.9520 test_acc=0.5776 lr=0.086235
epoch=30 train_loss=0.9320 test_acc=0.5767 lr=0.085077
epoch=31 train_loss=0.9187 test_acc=0.5811 lr=0.083880
epoch=32 train_loss=0.8802 test_acc=0.5900 lr=0.082647
epoch=33 train_loss=0.8717 test_acc=0.5902 lr=0.081377
epoch=34 train_loss=0.8470 test_acc=0.5836 lr=0.080074
epoch=35 train_loss=0.8048 test_acc=0.5756 lr=0.078738
epoch=36 train_loss=0.7906 test_acc=0.6037 lr=0.077370
epoch=37 train_loss=0.7650 test_acc=0.5921 lr=0.075973
epoch=38 train_loss=0.7400 test_acc=0.5987 lr=0.074547
epoch=39 train_loss=0.7349 test_acc=0.6159 lr=0.073094
epoch=40 train_loss=0.6989 test_acc=0.6333 lr=0.071616
epoch=41 train_loss=0.6784 test_acc=0.5970 lr=0.070115
epoch=42 train_loss=0.6620 test_acc=0.5960 lr=0.068591
epoch=43 train_loss=0.6225 test_acc=0.6107 lr=0.067048
epoch=44 train_loss=0.6200 test_acc=0.6049 lr=0.065485
epoch=45 train_loss=0.5838 test_acc=0.5983 lr=0.063906
epoch=46 train_loss=0.5877 test_acc=0.6279 lr=0.062312
epoch=47 train_loss=0.5548 test_acc=0.6125 lr=0.060704
epoch=48 train_loss=0.5291 test_acc=0.6334 lr=0.059085
epoch=49 train_loss=0.5069 test_acc=0.6044 lr=0.057456
epoch=50 train_loss=0.4875 test_acc=0.6297 lr=0.055818
epoch=51 train_loss=0.4557 test_acc=0.6214 lr=0.054175
epoch=52 train_loss=0.4502 test_acc=0.6316 lr=0.052527
