使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=5.8404 test_acc=0.0256 lr=0.020000
epoch=2 train_loss=4.6763 test_acc=0.0559 lr=0.040000
epoch=3 train_loss=4.0377 test_acc=0.1354 lr=0.060000
epoch=4 train_loss=3.6091 test_acc=0.2048 lr=0.080000
epoch=5 train_loss=3.1625 test_acc=0.2581 lr=0.100000
epoch=6 train_loss=2.7937 test_acc=0.3199 lr=0.100000
epoch=7 train_loss=2.4623 test_acc=0.3723 lr=0.099973
epoch=8 train_loss=2.1572 test_acc=0.3847 lr=0.099891
epoch=9 train_loss=1.9318 test_acc=0.4407 lr=0.099754
epoch=10 train_loss=1.7582 test_acc=0.4731 lr=0.099564
epoch=11 train_loss=1.6134 test_acc=0.5005 lr=0.099319
epoch=12 train_loss=1.4927 test_acc=0.5325 lr=0.099020
epoch=13 train_loss=1.4055 test_acc=0.5479 lr=0.098668
epoch=14 train_loss=1.3338 test_acc=0.5357 lr=0.098262
epoch=15 train_loss=1.2614 test_acc=0.5413 lr=0.097804
epoch=16 train_loss=1.2111 test_acc=0.5619 lr=0.097294
epoch=17 train_loss=1.1495 test_acc=0.5697 lr=0.096731
epoch=18 train_loss=1.1162 test_acc=0.5460 lr=0.096118
epoch=19 train_loss=1.0814 test_acc=0.5783 lr=0.095455
epoch=20 train_loss=1.0320 test_acc=0.5746 lr=0.094742
epoch=21 train_loss=0.9998 test_acc=0.5661 lr=0.093980
epoch=22 train_loss=0.9568 test_acc=0.5834 lr=0.093170
epoch=23 train_loss=0.9211 test_acc=0.5912 lr=0.092312
epoch=24 train_loss=0.9013 test_acc=0.5859 lr=0.091409
epoch=25 train_loss=0.8589 test_acc=0.6062 lr=0.090460
epoch=26 train_loss=0.8383 test_acc=0.6038 lr=0.089468
epoch=27 train_loss=0.8174 test_acc=0.5972 lr=0.088432
epoch=28 train_loss=0.8025 test_acc=0.6157 lr=0.087354
epoch=29 train_loss=0.7567 test_acc=0.6163 lr=0.086235
epoch=30 train_loss=0.7482 test_acc=0.6158 lr=0.085077
epoch=31 train_loss=0.7183 test_acc=0.6136 lr=0.083880
epoch=32 train_loss=0.6955 test_acc=0.6035 lr=0.082647
epoch=33 train_loss=0.6811 test_acc=0.6006 lr=0.081377
epoch=34 train_loss=0.6619 test_acc=0.6013 lr=0.080074
epoch=35 train_loss=0.6299 test_acc=0.6066 lr=0.078738
epoch=36 train_loss=0.6222 test_acc=0.6035 lr=0.077370
epoch=37 train_loss=0.6046 test_acc=0.6355 lr=0.075973
epoch=38 train_loss=0.5650 test_acc=0.6283 lr=0.074547
epoch=39 train_loss=0.5542 test_acc=0.6385 lr=0.073094
epoch=40 train_loss=0.5343 test_acc=0.6147 lr=0.071616
epoch=41 train_loss=0.5195 test_acc=0.6247 lr=0.070115
epoch=42 train_loss=0.5056 test_acc=0.6289 lr=0.068591
epoch=43 train_loss=0.4792 test_acc=0.6073 lr=0.067048
epoch=44 train_loss=0.4736 test_acc=0.6390 lr=0.065485
epoch=45 train_loss=0.4471 test_acc=0.6502 lr=0.063906
epoch=46 train_loss=0.4379 test_acc=0.6437 lr=0.062312
epoch=47 train_loss=0.4126 test_acc=0.6550 lr=0.060704
epoch=48 train_loss=0.3881 test_acc=0.6509 lr=0.059085
epoch=49 train_loss=0.3801 test_acc=0.6556 lr=0.057456
epoch=50 train_loss=0.3548 test_acc=0.6353 lr=0.055818
epoch=51 train_loss=0.3430 test_acc=0.6541 lr=0.054175
epoch=52 train_loss=0.3209 test_acc=0.6507 lr=0.052527
epoch=53 train_loss=0.3031 test_acc=0.6634 lr=0.050876
epoch=54 train_loss=0.2785 test_acc=0.6609 lr=0.049224
epoch=55 train_loss=0.2700 test_acc=0.6576 lr=0.047573
epoch=56 train_loss=0.2533 test_acc=0.6595 lr=0.045925
epoch=57 train_loss=0.2276 test_acc=0.6701 lr=0.044282
epoch=58 train_loss=0.2231 test_acc=0.6608 lr=0.042644
epoch=59 train_loss=0.1989 test_acc=0.6719 lr=0.041015
epoch=60 train_loss=0.1820 test_acc=0.6738 lr=0.039396
epoch=61 train_loss=0.1795 test_acc=0.6738 lr=0.037788
epoch=62 train_loss=0.1598 test_acc=0.6783 lr=0.036194
epoch=63 train_loss=0.1415 test_acc=0.6894 lr=0.034615
epoch=64 train_loss=0.1289 test_acc=0.6919 lr=0.033052
epoch=65 train_loss=0.1071 test_acc=0.6977 lr=0.031509
epoch=66 train_loss=0.0954 test_acc=0.6946 lr=0.029985
epoch=67 train_loss=0.0896 test_acc=0.7013 lr=0.028484
epoch=68 train_loss=0.0764 test_acc=0.7029 lr=0.027006
epoch=69 train_loss=0.0706 test_acc=0.7102 lr=0.025553
epoch=70 train_loss=0.0566 test_acc=0.7105 lr=0.024127
epoch=71 train_loss=0.0475 test_acc=0.7198 lr=0.022730
epoch=72 train_loss=0.0366 test_acc=0.7173 lr=0.021362
epoch=73 train_loss=0.0325 test_acc=0.7245 lr=0.020026
epoch=74 train_loss=0.0281 test_acc=0.7227 lr=0.018723
epoch=75 train_loss=0.0264 test_acc=0.7228 lr=0.017453
epoch=76 train_loss=0.0216 test_acc=0.7293 lr=0.016220
epoch=77 train_loss=0.0193 test_acc=0.7279 lr=0.015023
epoch=78 train_loss=0.0183 test_acc=0.7364 lr=0.013865
epoch=79 train_loss=0.0163 test_acc=0.7338 lr=0.012746
epoch=80 train_loss=0.0144 test_acc=0.7376 lr=0.011668
epoch=81 train_loss=0.0134 test_acc=0.7390 lr=0.010632
epoch=82 train_loss=0.0122 test_acc=0.7366 lr=0.009640
epoch=83 train_loss=0.0116 test_acc=0.7379 lr=0.008691
epoch=84 train_loss=0.0107 test_acc=0.7397 lr=0.007788
epoch=85 train_loss=0.0101 test_acc=0.7425 lr=0.006930
epoch=86 train_loss=0.0097 test_acc=0.7409 lr=0.006120
epoch=87 train_loss=0.0096 test_acc=0.7425 lr=0.005358
epoch=88 train_loss=0.0097 test_acc=0.7420 lr=0.004645
epoch=89 train_loss=0.0090 test_acc=0.7426 lr=0.003982
epoch=90 train_loss=0.0090 test_acc=0.7437 lr=0.003369
epoch=91 train_loss=0.0093 test_acc=0.7427 lr=0.002806
epoch=92 train_loss=0.0085 test_acc=0.7442 lr=0.002296
epoch=93 train_loss=0.0085 test_acc=0.7432 lr=0.001838
epoch=94 train_loss=0.0083 test_acc=0.7442 lr=0.001432
epoch=95 train_loss=0.0082 test_acc=0.7446 lr=0.001080
epoch=96 train_loss=0.0084 test_acc=0.7452 lr=0.000781
epoch=97 train_loss=0.0083 test_acc=0.7445 lr=0.000536
epoch=98 train_loss=0.0082 test_acc=0.7456 lr=0.000346
epoch=99 train_loss=0.0082 test_acc=0.7434 lr=0.000209
epoch=100 train_loss=0.0084 test_acc=0.7454 lr=0.000127
结果已写入: F:\PythonProject\cnn-pid-thinking\results\c100_deep12_residual.csv
