使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=4.6045 test_acc=0.0201 lr=0.020000
epoch=2 train_loss=4.5858 test_acc=0.0279 lr=0.040000
epoch=3 train_loss=4.5456 test_acc=0.0208 lr=0.060000
epoch=4 train_loss=4.4923 test_acc=0.0227 lr=0.080000
epoch=5 train_loss=4.4678 test_acc=0.0189 lr=0.100000
epoch=6 train_loss=4.4714 test_acc=0.0213 lr=0.100000
epoch=7 train_loss=4.4539 test_acc=0.0206 lr=0.099973
epoch=8 train_loss=4.4297 test_acc=0.0269 lr=0.099891
epoch=9 train_loss=4.3913 test_acc=0.0228 lr=0.099754
epoch=10 train_loss=4.3450 test_acc=0.0281 lr=0.099564
epoch=11 train_loss=4.2747 test_acc=0.0335 lr=0.099319
epoch=12 train_loss=4.2389 test_acc=0.0343 lr=0.099020
epoch=13 train_loss=4.2120 test_acc=0.0292 lr=0.098668
epoch=14 train_loss=4.1958 test_acc=0.0243 lr=0.098262
epoch=15 train_loss=4.1709 test_acc=0.0231 lr=0.097804
epoch=16 train_loss=4.1394 test_acc=0.0457 lr=0.097294
epoch=17 train_loss=4.1111 test_acc=0.0411 lr=0.096731
epoch=18 train_loss=4.0805 test_acc=0.0467 lr=0.096118
epoch=19 train_loss=4.0506 test_acc=0.0344 lr=0.095455
epoch=20 train_loss=4.0094 test_acc=0.0241 lr=0.094742
epoch=21 train_loss=3.9673 test_acc=0.0384 lr=0.093980
epoch=22 train_loss=3.9282 test_acc=0.0430 lr=0.093170
epoch=23 train_loss=3.8920 test_acc=0.0589 lr=0.092312
epoch=24 train_loss=3.8471 test_acc=0.0380 lr=0.091409
epoch=25 train_loss=3.7987 test_acc=0.0282 lr=0.090460
epoch=26 train_loss=3.7477 test_acc=0.0464 lr=0.089468
epoch=27 train_loss=3.7164 test_acc=0.0290 lr=0.088432
epoch=28 train_loss=3.6750 test_acc=0.0512 lr=0.087354
epoch=29 train_loss=3.6272 test_acc=0.0627 lr=0.086235
epoch=30 train_loss=3.5968 test_acc=0.0492 lr=0.085077
epoch=31 train_loss=3.5601 test_acc=0.0456 lr=0.083880
epoch=32 train_loss=3.5258 test_acc=0.0770 lr=0.082647
epoch=33 train_loss=3.5090 test_acc=0.0524 lr=0.081377
epoch=34 train_loss=3.4734 test_acc=0.0344 lr=0.080074
epoch=35 train_loss=3.4417 test_acc=0.0652 lr=0.078738
epoch=36 train_loss=3.4173 test_acc=0.0691 lr=0.077370
epoch=37 train_loss=3.3786 test_acc=0.0583 lr=0.075973
epoch=38 train_loss=3.3512 test_acc=0.0721 lr=0.074547
epoch=39 train_loss=3.3304 test_acc=0.0676 lr=0.073094
epoch=40 train_loss=3.2956 test_acc=0.0845 lr=0.071616
epoch=41 train_loss=3.2679 test_acc=0.0820 lr=0.070115
epoch=42 train_loss=3.2478 test_acc=0.0543 lr=0.068591
epoch=43 train_loss=3.2232 test_acc=0.0828 lr=0.067048
epoch=44 train_loss=3.2009 test_acc=0.0705 lr=0.065485
epoch=45 train_loss=3.1707 test_acc=0.1084 lr=0.063906
epoch=46 train_loss=3.1459 test_acc=0.0966 lr=0.062312
epoch=47 train_loss=3.1190 test_acc=0.0773 lr=0.060704
epoch=48 train_loss=3.0865 test_acc=0.1122 lr=0.059085
epoch=49 train_loss=3.0546 test_acc=0.1033 lr=0.057456
epoch=50 train_loss=3.0405 test_acc=0.1435 lr=0.055818
epoch=51 train_loss=3.0095 test_acc=0.0930 lr=0.054175
epoch=52 train_loss=2.9780 test_acc=0.1514 lr=0.052527
epoch=53 train_loss=2.9564 test_acc=0.1138 lr=0.050876
epoch=54 train_loss=2.9324 test_acc=0.0899 lr=0.049224
epoch=55 train_loss=2.9165 test_acc=0.1421 lr=0.047573
epoch=56 train_loss=2.8910 test_acc=0.1203 lr=0.045925
