使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=4.2460 test_acc=0.0645 lr=0.020000
epoch=2 train_loss=3.8533 test_acc=0.1030 lr=0.040000
epoch=3 train_loss=3.6544 test_acc=0.1248 lr=0.060000
epoch=4 train_loss=3.4881 test_acc=0.1621 lr=0.080000
epoch=5 train_loss=3.3024 test_acc=0.1720 lr=0.100000
epoch=6 train_loss=3.0880 test_acc=0.1759 lr=0.100000
epoch=7 train_loss=2.8547 test_acc=0.1958 lr=0.099973
epoch=8 train_loss=2.6479 test_acc=0.2466 lr=0.099891
epoch=9 train_loss=2.4701 test_acc=0.2273 lr=0.099754
epoch=10 train_loss=2.3283 test_acc=0.2869 lr=0.099564
epoch=11 train_loss=2.2118 test_acc=0.3390 lr=0.099319
epoch=12 train_loss=2.1090 test_acc=0.3322 lr=0.099020
epoch=13 train_loss=2.0405 test_acc=0.2679 lr=0.098668
epoch=14 train_loss=1.9744 test_acc=0.4013 lr=0.098262
epoch=15 train_loss=1.9164 test_acc=0.3517 lr=0.097804
epoch=16 train_loss=1.8636 test_acc=0.2606 lr=0.097294
epoch=17 train_loss=1.8305 test_acc=0.4295 lr=0.096731
epoch=18 train_loss=1.7778 test_acc=0.3279 lr=0.096118
epoch=19 train_loss=1.7438 test_acc=0.3581 lr=0.095455
epoch=20 train_loss=1.7135 test_acc=0.3469 lr=0.094742
epoch=21 train_loss=1.6634 test_acc=0.4184 lr=0.093980
epoch=22 train_loss=1.6425 test_acc=0.4049 lr=0.093170
epoch=23 train_loss=1.6050 test_acc=0.4062 lr=0.092312
epoch=24 train_loss=1.5848 test_acc=0.4305 lr=0.091409
epoch=25 train_loss=1.5530 test_acc=0.3909 lr=0.090460
epoch=26 train_loss=1.5252 test_acc=0.4526 lr=0.089468
epoch=27 train_loss=1.5032 test_acc=0.4025 lr=0.088432
epoch=28 train_loss=1.4815 test_acc=0.4511 lr=0.087354
epoch=29 train_loss=1.4458 test_acc=0.4635 lr=0.086235
