使用设备: cuda  骨干: 12 阶段  AMP: 开
epoch=1 train_loss=3.8755 test_acc=0.1756 lr=0.020000
epoch=2 train_loss=3.1088 test_acc=0.2788 lr=0.040000
epoch=3 train_loss=2.5528 test_acc=0.3443 lr=0.060000
epoch=4 train_loss=2.2399 test_acc=0.3694 lr=0.080000
epoch=5 train_loss=2.0355 test_acc=0.4032 lr=0.100000
epoch=6 train_loss=1.8315 test_acc=0.4437 lr=0.100000
epoch=7 train_loss=1.6950 test_acc=0.4945 lr=0.099973
epoch=8 train_loss=1.5927 test_acc=0.4806 lr=0.099891
epoch=9 train_loss=1.5039 test_acc=0.4934 lr=0.099754
epoch=10 train_loss=1.4331 test_acc=0.5214 lr=0.099564
epoch=11 train_loss=1.3683 test_acc=0.5265 lr=0.099319
epoch=12 train_loss=1.3030 test_acc=0.5044 lr=0.099020
epoch=13 train_loss=1.2656 test_acc=0.5146 lr=0.098668
epoch=14 train_loss=1.2254 test_acc=0.5623 lr=0.098262
epoch=15 train_loss=1.1859 test_acc=0.5744 lr=0.097804
epoch=16 train_loss=1.1500 test_acc=0.5613 lr=0.097294
epoch=17 train_loss=1.1254 test_acc=0.5549 lr=0.096731
epoch=18 train_loss=1.0889 test_acc=0.5633 lr=0.096118
epoch=19 train_loss=1.0645 test_acc=0.5748 lr=0.095455
epoch=20 train_loss=1.0344 test_acc=0.5836 lr=0.094742
epoch=21 train_loss=1.0067 test_acc=0.5806 lr=0.093980
epoch=22 train_loss=0.9674 test_acc=0.5053 lr=0.093170
epoch=23 train_loss=0.9594 test_acc=0.5664 lr=0.092312
epoch=24 train_loss=0.9400 test_acc=0.5740 lr=0.091409
epoch=25 train_loss=0.9088 test_acc=0.5640 lr=0.090460
epoch=26 train_loss=0.8899 test_acc=0.5789 lr=0.089468
epoch=27 train_loss=0.8789 test_acc=0.6009 lr=0.088432
epoch=28 train_loss=0.8528 test_acc=0.5824 lr=0.087354
epoch=29 train_loss=0.8274 test_acc=0.5741 lr=0.086235
epoch=30 train_loss=0.8161 test_acc=0.5925 lr=0.085077
epoch=31 train_loss=0.7997 test_acc=0.5853 lr=0.083880
epoch=32 train_loss=0.7751 test_acc=0.6085 lr=0.082647
epoch=33 train_loss=0.7553 test_acc=0.5996 lr=0.081377
epoch=34 train_loss=0.7489 test_acc=0.5940 lr=0.080074
epoch=35 train_loss=0.7321 test_acc=0.6040 lr=0.078738
epoch=36 train_loss=0.7072 test_acc=0.5962 lr=0.077370
epoch=37 train_loss=0.6905 test_acc=0.6015 lr=0.075973
epoch=38 train_loss=0.6892 test_acc=0.5978 lr=0.074547
epoch=39 train_loss=0.6601 test_acc=0.6317 lr=0.073094
epoch=40 train_loss=0.6341 test_acc=0.5880 lr=0.071616
epoch=41 train_loss=0.6323 test_acc=0.6047 lr=0.070115
epoch=42 train_loss=0.6143 test_acc=0.6249 lr=0.068591
epoch=43 train_loss=0.5855 test_acc=0.6229 lr=0.067048
epoch=44 train_loss=0.5713 test_acc=0.6178 lr=0.065485
epoch=45 train_loss=0.5564 test_acc=0.6467 lr=0.063906
epoch=46 train_loss=0.5471 test_acc=0.5887 lr=0.062312
epoch=47 train_loss=0.5272 test_acc=0.6002 lr=0.060704
epoch=48 train_loss=0.5037 test_acc=0.6305 lr=0.059085
epoch=49 train_loss=0.4880 test_acc=0.6202 lr=0.057456
epoch=50 train_loss=0.4868 test_acc=0.6226 lr=0.055818
epoch=51 train_loss=0.4523 test_acc=0.6291 lr=0.054175
epoch=52 train_loss=0.4317 test_acc=0.6113 lr=0.052527
epoch=53 train_loss=0.4256 test_acc=0.6323 lr=0.050876
epoch=54 train_loss=0.4019 test_acc=0.6510 lr=0.049224
epoch=55 train_loss=0.3883 test_acc=0.6240 lr=0.047573
epoch=56 train_loss=0.3791 test_acc=0.6446 lr=0.045925
epoch=57 train_loss=0.3582 test_acc=0.6432 lr=0.044282
epoch=58 train_loss=0.3289 test_acc=0.6358 lr=0.042644
epoch=59 train_loss=0.3137 test_acc=0.6373 lr=0.041015
epoch=60 train_loss=0.3081 test_acc=0.6484 lr=0.039396
epoch=61 train_loss=0.2932 test_acc=0.6436 lr=0.037788
epoch=62 train_loss=0.2708 test_acc=0.6491 lr=0.036194
epoch=63 train_loss=0.2642 test_acc=0.6485 lr=0.034615
epoch=64 train_loss=0.2465 test_acc=0.6455 lr=0.033052
epoch=65 train_loss=0.2329 test_acc=0.6496 lr=0.031509
epoch=66 train_loss=0.2178 test_acc=0.6633 lr=0.029985
epoch=67 train_loss=0.2004 test_acc=0.6623 lr=0.028484
epoch=68 train_loss=0.1824 test_acc=0.6663 lr=0.027006
