epoch,train_loss,test_acc,lr
1,1.6169,0.4945,0.020000
2,1.1326,0.6808,0.040000
3,0.8705,0.6861,0.060000
4,0.7502,0.6968,0.080000
5,0.6632,0.7255,0.100000
6,0.5853,0.7600,0.100000
7,0.5257,0.7688,0.099919
8,0.4940,0.7654,0.099674
9,0.4607,0.8145,0.099268
10,0.4421,0.7981,0.098702
11,0.4345,0.8117,0.097977
12,0.4098,0.7954,0.097095
13,0.4003,0.8136,0.096060
14,0.3939,0.7274,0.094875
15,0.3813,0.8212,0.093544
16,0.3701,0.8113,0.092071
17,0.3602,0.8117,0.090460
18,0.3463,0.8061,0.088718
19,0.3466,0.8382,0.086850
20,0.3367,0.7928,0.084862
21,0.3243,0.8063,0.082760
22,0.3115,0.8261,0.080552
23,0.3082,0.8245,0.078244
24,0.3005,0.8439,0.075844
25,0.2899,0.8334,0.073360
26,0.2800,0.8190,0.070800
27,0.2717,0.8332,0.068172
28,0.2711,0.8593,0.065485
29,0.2577,0.8217,0.062748
30,0.2471,0.8479,0.059970
31,0.2371,0.8231,0.057159
32,0.2278,0.8402,0.054324
33,0.2198,0.8682,0.051476
34,0.2061,0.8401,0.048624
35,0.2032,0.8467,0.045776
36,0.1888,0.8585,0.042941
37,0.1750,0.8563,0.040130
38,0.1679,0.8531,0.037352
39,0.1604,0.8900,0.034615
40,0.1487,0.8799,0.031928
41,0.1353,0.8829,0.029300
42,0.1257,0.8887,0.026740
43,0.1141,0.9041,0.024256
44,0.1029,0.8953,0.021856
45,0.0950,0.9009,0.019548
46,0.0827,0.9006,0.017340
47,0.0678,0.9130,0.015238
48,0.0631,0.9055,0.013250
49,0.0523,0.9161,0.011382
50,0.0433,0.9156,0.009640
51,0.0392,0.9156,0.008029
52,0.0299,0.9215,0.006556
53,0.0274,0.9226,0.005225
54,0.0240,0.9202,0.004040
55,0.0225,0.9232,0.003005
56,0.0193,0.9257,0.002123
57,0.0175,0.9262,0.001398
58,0.0167,0.9251,0.000832
59,0.0159,0.9256,0.000426
60,0.0170,0.9248,0.000181
