使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=1.6169 test_acc=0.4945 lr=0.020000
epoch=2 train_loss=1.1326 test_acc=0.6808 lr=0.040000
epoch=3 train_loss=0.8705 test_acc=0.6861 lr=0.060000
epoch=4 train_loss=0.7502 test_acc=0.6968 lr=0.080000
epoch=5 train_loss=0.6632 test_acc=0.7255 lr=0.100000
epoch=6 train_loss=0.5853 test_acc=0.7600 lr=0.100000
epoch=7 train_loss=0.5257 test_acc=0.7688 lr=0.099919
epoch=8 train_loss=0.4940 test_acc=0.7654 lr=0.099674
epoch=9 train_loss=0.4607 test_acc=0.8145 lr=0.099268
epoch=10 train_loss=0.4421 test_acc=0.7981 lr=0.098702
epoch=11 train_loss=0.4345 test_acc=0.8117 lr=0.097977
epoch=12 train_loss=0.4098 test_acc=0.7954 lr=0.097095
epoch=13 train_loss=0.4003 test_acc=0.8136 lr=0.096060
epoch=14 train_loss=0.3939 test_acc=0.7274 lr=0.094875
epoch=15 train_loss=0.3813 test_acc=0.8212 lr=0.093544
epoch=16 train_loss=0.3701 test_acc=0.8113 lr=0.092071
epoch=17 train_loss=0.3602 test_acc=0.8117 lr=0.090460
epoch=18 train_loss=0.3463 test_acc=0.8061 lr=0.088718
epoch=19 train_loss=0.3466 test_acc=0.8382 lr=0.086850
epoch=20 train_loss=0.3367 test_acc=0.7928 lr=0.084862
epoch=21 train_loss=0.3243 test_acc=0.8063 lr=0.082760
epoch=22 train_loss=0.3115 test_acc=0.8261 lr=0.080552
epoch=23 train_loss=0.3082 test_acc=0.8245 lr=0.078244
epoch=24 train_loss=0.3005 test_acc=0.8439 lr=0.075844
epoch=25 train_loss=0.2899 test_acc=0.8334 lr=0.073360
epoch=26 train_loss=0.2800 test_acc=0.8190 lr=0.070800
epoch=27 train_loss=0.2717 test_acc=0.8332 lr=0.068172
epoch=28 train_loss=0.2711 test_acc=0.8593 lr=0.065485
epoch=29 train_loss=0.2577 test_acc=0.8217 lr=0.062748
epoch=30 train_loss=0.2471 test_acc=0.8479 lr=0.059970
epoch=31 train_loss=0.2371 test_acc=0.8231 lr=0.057159
epoch=32 train_loss=0.2278 test_acc=0.8402 lr=0.054324
epoch=33 train_loss=0.2198 test_acc=0.8682 lr=0.051476
epoch=34 train_loss=0.2061 test_acc=0.8401 lr=0.048624
epoch=35 train_loss=0.2032 test_acc=0.8467 lr=0.045776
epoch=36 train_loss=0.1888 test_acc=0.8585 lr=0.042941
epoch=37 train_loss=0.1750 test_acc=0.8563 lr=0.040130
epoch=38 train_loss=0.1679 test_acc=0.8531 lr=0.037352
epoch=39 train_loss=0.1604 test_acc=0.8900 lr=0.034615
epoch=40 train_loss=0.1487 test_acc=0.8799 lr=0.031928
epoch=41 train_loss=0.1353 test_acc=0.8829 lr=0.029300
epoch=42 train_loss=0.1257 test_acc=0.8887 lr=0.026740
epoch=43 train_loss=0.1141 test_acc=0.9041 lr=0.024256
epoch=44 train_loss=0.1029 test_acc=0.8953 lr=0.021856
epoch=45 train_loss=0.0950 test_acc=0.9009 lr=0.019548
epoch=46 train_loss=0.0827 test_acc=0.9006 lr=0.017340
epoch=47 train_loss=0.0678 test_acc=0.9130 lr=0.015238
epoch=48 train_loss=0.0631 test_acc=0.9055 lr=0.013250
epoch=49 train_loss=0.0523 test_acc=0.9161 lr=0.011382
epoch=50 train_loss=0.0433 test_acc=0.9156 lr=0.009640
epoch=51 train_loss=0.0392 test_acc=0.9156 lr=0.008029
epoch=52 train_loss=0.0299 test_acc=0.9215 lr=0.006556
epoch=53 train_loss=0.0274 test_acc=0.9226 lr=0.005225
epoch=54 train_loss=0.0240 test_acc=0.9202 lr=0.004040
epoch=55 train_loss=0.0225 test_acc=0.9232 lr=0.003005
epoch=56 train_loss=0.0193 test_acc=0.9257 lr=0.002123
epoch=57 train_loss=0.0175 test_acc=0.9262 lr=0.001398
epoch=58 train_loss=0.0167 test_acc=0.9251 lr=0.000832
epoch=59 train_loss=0.0159 test_acc=0.9256 lr=0.000426
epoch=60 train_loss=0.0170 test_acc=0.9248 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_baseline.csv
