epoch,train_loss,test_acc,lr
1,2.2961,0.1555,0.020000
2,2.2094,0.2278,0.040000
3,1.9836,0.2734,0.060000
4,1.8075,0.3401,0.080000
5,1.6720,0.3948,0.100000
6,1.4821,0.4883,0.100000
7,1.2247,0.5866,0.099919
8,1.0230,0.6553,0.099674
9,0.8888,0.6850,0.099268
10,0.7901,0.6361,0.098702
11,0.7278,0.7269,0.097977
12,0.6663,0.7309,0.097095
13,0.6255,0.7420,0.096060
14,0.5934,0.7756,0.094875
15,0.5625,0.7897,0.093544
16,0.5399,0.7818,0.092071
17,0.5207,0.7585,0.090460
18,0.5018,0.7658,0.088718
19,0.4898,0.8038,0.086850
20,0.4690,0.7339,0.084862
21,0.4565,0.8049,0.082760
22,0.4474,0.7451,0.080552
23,0.4281,0.7779,0.078244
24,0.4123,0.7658,0.075844
25,0.4057,0.7572,0.073360
26,0.3898,0.7712,0.070800
27,0.3805,0.7805,0.068172
28,0.3632,0.8088,0.065485
29,0.3599,0.8349,0.062748
30,0.3453,0.8152,0.059970
31,0.3314,0.8411,0.057159
32,0.3227,0.8146,0.054324
33,0.3079,0.8189,0.051476
34,0.3023,0.8556,0.048624
35,0.2830,0.8315,0.045776
36,0.2764,0.8663,0.042941
37,0.2625,0.8679,0.040130
38,0.2480,0.7703,0.037352
39,0.2428,0.8490,0.034615
40,0.2283,0.8275,0.031928
41,0.2128,0.8845,0.029300
42,0.2076,0.8428,0.026740
43,0.1891,0.8830,0.024256
44,0.1770,0.8598,0.021856
45,0.1667,0.8816,0.019548
46,0.1580,0.8941,0.017340
47,0.1392,0.8814,0.015238
48,0.1335,0.8892,0.013250
49,0.1196,0.8981,0.011382
50,0.1093,0.8939,0.009640
51,0.0978,0.9132,0.008029
52,0.0912,0.9156,0.006556
53,0.0813,0.9144,0.005225
54,0.0744,0.9183,0.004040
55,0.0700,0.9203,0.003005
56,0.0632,0.9198,0.002123
57,0.0594,0.9203,0.001398
58,0.0589,0.9232,0.000832
59,0.0564,0.9233,0.000426
60,0.0538,0.9227,0.000181
