使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=2.2961 test_acc=0.1555 lr=0.020000
epoch=2 train_loss=2.2094 test_acc=0.2278 lr=0.040000
epoch=3 train_loss=1.9836 test_acc=0.2734 lr=0.060000
epoch=4 train_loss=1.8075 test_acc=0.3401 lr=0.080000
epoch=5 train_loss=1.6720 test_acc=0.3948 lr=0.100000
epoch=6 train_loss=1.4821 test_acc=0.4883 lr=0.100000
epoch=7 train_loss=1.2247 test_acc=0.5866 lr=0.099919
epoch=8 train_loss=1.0230 test_acc=0.6553 lr=0.099674
epoch=9 train_loss=0.8888 test_acc=0.6850 lr=0.099268
epoch=10 train_loss=0.7901 test_acc=0.6361 lr=0.098702
epoch=11 train_loss=0.7278 test_acc=0.7269 lr=0.097977
epoch=12 train_loss=0.6663 test_acc=0.7309 lr=0.097095
epoch=13 train_loss=0.6255 test_acc=0.7420 lr=0.096060
epoch=14 train_loss=0.5934 test_acc=0.7756 lr=0.094875
epoch=15 train_loss=0.5625 test_acc=0.7897 lr=0.093544
epoch=16 train_loss=0.5399 test_acc=0.7818 lr=0.092071
epoch=17 train_loss=0.5207 test_acc=0.7585 lr=0.090460
epoch=18 train_loss=0.5018 test_acc=0.7658 lr=0.088718
epoch=19 train_loss=0.4898 test_acc=0.8038 lr=0.086850
epoch=20 train_loss=0.4690 test_acc=0.7339 lr=0.084862
epoch=21 train_loss=0.4565 test_acc=0.8049 lr=0.082760
epoch=22 train_loss=0.4474 test_acc=0.7451 lr=0.080552
epoch=23 train_loss=0.4281 test_acc=0.7779 lr=0.078244
epoch=24 train_loss=0.4123 test_acc=0.7658 lr=0.075844
epoch=25 train_loss=0.4057 test_acc=0.7572 lr=0.073360
epoch=26 train_loss=0.3898 test_acc=0.7712 lr=0.070800
epoch=27 train_loss=0.3805 test_acc=0.7805 lr=0.068172
epoch=28 train_loss=0.3632 test_acc=0.8088 lr=0.065485
epoch=29 train_loss=0.3599 test_acc=0.8349 lr=0.062748
epoch=30 train_loss=0.3453 test_acc=0.8152 lr=0.059970
epoch=31 train_loss=0.3314 test_acc=0.8411 lr=0.057159
epoch=32 train_loss=0.3227 test_acc=0.8146 lr=0.054324
epoch=33 train_loss=0.3079 test_acc=0.8189 lr=0.051476
epoch=34 train_loss=0.3023 test_acc=0.8556 lr=0.048624
epoch=35 train_loss=0.2830 test_acc=0.8315 lr=0.045776
epoch=36 train_loss=0.2764 test_acc=0.8663 lr=0.042941
epoch=37 train_loss=0.2625 test_acc=0.8679 lr=0.040130
epoch=38 train_loss=0.2480 test_acc=0.7703 lr=0.037352
epoch=39 train_loss=0.2428 test_acc=0.8490 lr=0.034615
epoch=40 train_loss=0.2283 test_acc=0.8275 lr=0.031928
epoch=41 train_loss=0.2128 test_acc=0.8845 lr=0.029300
epoch=42 train_loss=0.2076 test_acc=0.8428 lr=0.026740
epoch=43 train_loss=0.1891 test_acc=0.8830 lr=0.024256
epoch=44 train_loss=0.1770 test_acc=0.8598 lr=0.021856
epoch=45 train_loss=0.1667 test_acc=0.8816 lr=0.019548
epoch=46 train_loss=0.1580 test_acc=0.8941 lr=0.017340
epoch=47 train_loss=0.1392 test_acc=0.8814 lr=0.015238
epoch=48 train_loss=0.1335 test_acc=0.8892 lr=0.013250
epoch=49 train_loss=0.1196 test_acc=0.8981 lr=0.011382
epoch=50 train_loss=0.1093 test_acc=0.8939 lr=0.009640
epoch=51 train_loss=0.0978 test_acc=0.9132 lr=0.008029
epoch=52 train_loss=0.0912 test_acc=0.9156 lr=0.006556
epoch=53 train_loss=0.0813 test_acc=0.9144 lr=0.005225
epoch=54 train_loss=0.0744 test_acc=0.9183 lr=0.004040
epoch=55 train_loss=0.0700 test_acc=0.9203 lr=0.003005
epoch=56 train_loss=0.0632 test_acc=0.9198 lr=0.002123
epoch=57 train_loss=0.0594 test_acc=0.9203 lr=0.001398
epoch=58 train_loss=0.0589 test_acc=0.9232 lr=0.000832
epoch=59 train_loss=0.0564 test_acc=0.9233 lr=0.000426
epoch=60 train_loss=0.0538 test_acc=0.9227 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_both.csv
