epoch,train_loss,test_acc,lr
1,1.5519,0.5813,0.020000
2,1.0893,0.6610,0.040000
3,0.8504,0.7043,0.060000
4,0.7028,0.7470,0.080000
5,0.6299,0.7198,0.100000
6,0.5535,0.7776,0.100000
7,0.5109,0.7267,0.099919
8,0.4692,0.7558,0.099674
9,0.4455,0.8034,0.099268
10,0.4220,0.7874,0.098702
11,0.4051,0.8143,0.097977
12,0.3954,0.7952,0.097095
13,0.3800,0.7489,0.096060
14,0.3684,0.7922,0.094875
15,0.3606,0.8089,0.093544
16,0.3495,0.8004,0.092071
17,0.3456,0.7635,0.090460
18,0.3319,0.8287,0.088718
19,0.3226,0.8346,0.086850
20,0.3182,0.8335,0.084862
21,0.3116,0.8432,0.082760
22,0.3025,0.8471,0.080552
23,0.2955,0.8470,0.078244
24,0.2871,0.8623,0.075844
25,0.2783,0.8546,0.073360
26,0.2693,0.8521,0.070800
27,0.2605,0.8682,0.068172
28,0.2501,0.8493,0.065485
29,0.2469,0.8581,0.062748
30,0.2327,0.8219,0.059970
31,0.2280,0.8240,0.057159
32,0.2116,0.8528,0.054324
33,0.2140,0.8629,0.051476
34,0.1962,0.8796,0.048624
35,0.1869,0.8375,0.045776
36,0.1758,0.8832,0.042941
37,0.1675,0.8733,0.040130
38,0.1610,0.8903,0.037352
39,0.1485,0.8782,0.034615
40,0.1470,0.8887,0.031928
41,0.1262,0.8889,0.029300
42,0.1166,0.8953,0.026740
43,0.1040,0.8940,0.024256
44,0.0945,0.8908,0.021856
45,0.0824,0.8995,0.019548
46,0.0726,0.9083,0.017340
47,0.0635,0.9057,0.015238
48,0.0532,0.9132,0.013250
49,0.0450,0.9138,0.011382
50,0.0395,0.9125,0.009640
51,0.0337,0.9158,0.008029
52,0.0282,0.9193,0.006556
53,0.0220,0.9201,0.005225
54,0.0208,0.9201,0.004040
55,0.0166,0.9242,0.003005
56,0.0151,0.9246,0.002123
57,0.0145,0.9259,0.001398
58,0.0140,0.9255,0.000832
59,0.0150,0.9257,0.000426
60,0.0131,0.9256,0.000181
