epoch,train_loss,test_acc,lr
1,3.1691,0.3384,0.020000
2,1.7829,0.4492,0.040000
3,1.4132,0.5359,0.060000
4,1.1143,0.6395,0.080000
5,0.8888,0.7264,0.100000
6,0.7232,0.6756,0.100000
7,0.6263,0.7462,0.099919
8,0.5561,0.7683,0.099674
9,0.5093,0.7943,0.099268
10,0.4815,0.8120,0.098702
11,0.4402,0.7737,0.097977
12,0.4105,0.8103,0.097095
13,0.3900,0.7849,0.096060
14,0.3709,0.8111,0.094875
15,0.3578,0.8208,0.093544
16,0.3403,0.8205,0.092071
17,0.3312,0.8318,0.090460
18,0.3230,0.8378,0.088718
19,0.3197,0.8351,0.086850
20,0.2982,0.8607,0.084862
21,0.2859,0.8616,0.082760
22,0.2797,0.8686,0.080552
23,0.2699,0.8618,0.078244
24,0.2627,0.8472,0.075844
25,0.2482,0.8572,0.073360
26,0.2403,0.8679,0.070800
27,0.2341,0.8649,0.068172
28,0.2189,0.8759,0.065485
29,0.2148,0.8772,0.062748
30,0.2097,0.8650,0.059970
31,0.1928,0.8817,0.057159
32,0.1883,0.8859,0.054324
33,0.1742,0.8775,0.051476
34,0.1665,0.8882,0.048624
35,0.1497,0.8783,0.045776
36,0.1475,0.8961,0.042941
37,0.1341,0.8866,0.040130
38,0.1274,0.8882,0.037352
39,0.1164,0.9033,0.034615
40,0.1062,0.8927,0.031928
41,0.0909,0.9013,0.029300
42,0.0870,0.9048,0.026740
43,0.0727,0.9075,0.024256
44,0.0642,0.9103,0.021856
45,0.0518,0.9149,0.019548
46,0.0460,0.9187,0.017340
47,0.0395,0.9186,0.015238
48,0.0322,0.9186,0.013250
49,0.0275,0.9202,0.011382
50,0.0234,0.9228,0.009640
51,0.0201,0.9264,0.008029
52,0.0166,0.9273,0.006556
53,0.0150,0.9286,0.005225
54,0.0131,0.9277,0.004040
55,0.0119,0.9278,0.003005
56,0.0113,0.9287,0.002123
57,0.0110,0.9286,0.001398
58,0.0106,0.9296,0.000832
59,0.0101,0.9285,0.000426
60,0.0098,0.9300,0.000181
