epoch,train_loss,test_acc,lr
1,2.6546,0.3636,0.020000
2,1.7208,0.4671,0.040000
3,1.4541,0.5490,0.060000
4,1.1096,0.6176,0.080000
5,0.9156,0.7117,0.100000
6,0.7091,0.7313,0.100000
7,0.6247,0.7661,0.099919
8,0.5505,0.7772,0.099674
9,0.5007,0.7908,0.099268
10,0.4660,0.8042,0.098702
11,0.4330,0.8154,0.097977
12,0.4067,0.8350,0.097095
13,0.3823,0.8195,0.096060
14,0.3694,0.8072,0.094875
15,0.3501,0.8345,0.093544
16,0.3416,0.8262,0.092071
17,0.3263,0.8184,0.090460
18,0.3149,0.8300,0.088718
19,0.2988,0.8522,0.086850
20,0.2915,0.8474,0.084862
21,0.2816,0.8265,0.082760
22,0.2737,0.8529,0.080552
23,0.2608,0.8677,0.078244
24,0.2495,0.8289,0.075844
25,0.2513,0.8742,0.073360
26,0.2314,0.8323,0.070800
27,0.2266,0.8621,0.068172
28,0.2129,0.8672,0.065485
29,0.2081,0.8873,0.062748
30,0.1981,0.8720,0.059970
31,0.1887,0.8506,0.057159
32,0.1841,0.8909,0.054324
33,0.1631,0.8865,0.051476
34,0.1680,0.8656,0.048624
35,0.1506,0.8825,0.045776
36,0.1404,0.8963,0.042941
37,0.1265,0.8936,0.040130
38,0.1162,0.8986,0.037352
39,0.1085,0.9047,0.034615
40,0.1011,0.8991,0.031928
41,0.0884,0.9001,0.029300
42,0.0812,0.9071,0.026740
43,0.0721,0.9084,0.024256
44,0.0609,0.9067,0.021856
45,0.0567,0.9151,0.019548
46,0.0506,0.9168,0.017340
47,0.0407,0.9221,0.015238
48,0.0338,0.9225,0.013250
49,0.0269,0.9225,0.011382
50,0.0229,0.9248,0.009640
51,0.0185,0.9254,0.008029
52,0.0161,0.9279,0.006556
53,0.0145,0.9291,0.005225
54,0.0131,0.9288,0.004040
55,0.0128,0.9293,0.003005
56,0.0119,0.9298,0.002123
57,0.0107,0.9292,0.001398
58,0.0102,0.9296,0.000832
59,0.0099,0.9307,0.000426
60,0.0097,0.9303,0.000181
