使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=2.6546 test_acc=0.3636 lr=0.020000
epoch=2 train_loss=1.7208 test_acc=0.4671 lr=0.040000
epoch=3 train_loss=1.4541 test_acc=0.5490 lr=0.060000
epoch=4 train_loss=1.1096 test_acc=0.6176 lr=0.080000
epoch=5 train_loss=0.9156 test_acc=0.7117 lr=0.100000
epoch=6 train_loss=0.7091 test_acc=0.7313 lr=0.100000
epoch=7 train_loss=0.6247 test_acc=0.7661 lr=0.099919
epoch=8 train_loss=0.5505 test_acc=0.7772 lr=0.099674
epoch=9 train_loss=0.5007 test_acc=0.7908 lr=0.099268
epoch=10 train_loss=0.4660 test_acc=0.8042 lr=0.098702
epoch=11 train_loss=0.4330 test_acc=0.8154 lr=0.097977
epoch=12 train_loss=0.4067 test_acc=0.8350 lr=0.097095
epoch=13 train_loss=0.3823 test_acc=0.8195 lr=0.096060
epoch=14 train_loss=0.3694 test_acc=0.8072 lr=0.094875
epoch=15 train_loss=0.3501 test_acc=0.8345 lr=0.093544
epoch=16 train_loss=0.3416 test_acc=0.8262 lr=0.092071
epoch=17 train_loss=0.3263 test_acc=0.8184 lr=0.090460
epoch=18 train_loss=0.3149 test_acc=0.8300 lr=0.088718
epoch=19 train_loss=0.2988 test_acc=0.8522 lr=0.086850
epoch=20 train_loss=0.2915 test_acc=0.8474 lr=0.084862
epoch=21 train_loss=0.2816 test_acc=0.8265 lr=0.082760
epoch=22 train_loss=0.2737 test_acc=0.8529 lr=0.080552
epoch=23 train_loss=0.2608 test_acc=0.8677 lr=0.078244
epoch=24 train_loss=0.2495 test_acc=0.8289 lr=0.075844
epoch=25 train_loss=0.2513 test_acc=0.8742 lr=0.073360
epoch=26 train_loss=0.2314 test_acc=0.8323 lr=0.070800
epoch=27 train_loss=0.2266 test_acc=0.8621 lr=0.068172
epoch=28 train_loss=0.2129 test_acc=0.8672 lr=0.065485
epoch=29 train_loss=0.2081 test_acc=0.8873 lr=0.062748
epoch=30 train_loss=0.1981 test_acc=0.8720 lr=0.059970
epoch=31 train_loss=0.1887 test_acc=0.8506 lr=0.057159
epoch=32 train_loss=0.1841 test_acc=0.8909 lr=0.054324
epoch=33 train_loss=0.1631 test_acc=0.8865 lr=0.051476
epoch=34 train_loss=0.1680 test_acc=0.8656 lr=0.048624
epoch=35 train_loss=0.1506 test_acc=0.8825 lr=0.045776
epoch=36 train_loss=0.1404 test_acc=0.8963 lr=0.042941
epoch=37 train_loss=0.1265 test_acc=0.8936 lr=0.040130
epoch=38 train_loss=0.1162 test_acc=0.8986 lr=0.037352
epoch=39 train_loss=0.1085 test_acc=0.9047 lr=0.034615
epoch=40 train_loss=0.1011 test_acc=0.8991 lr=0.031928
epoch=41 train_loss=0.0884 test_acc=0.9001 lr=0.029300
epoch=42 train_loss=0.0812 test_acc=0.9071 lr=0.026740
epoch=43 train_loss=0.0721 test_acc=0.9084 lr=0.024256
epoch=44 train_loss=0.0609 test_acc=0.9067 lr=0.021856
epoch=45 train_loss=0.0567 test_acc=0.9151 lr=0.019548
epoch=46 train_loss=0.0506 test_acc=0.9168 lr=0.017340
epoch=47 train_loss=0.0407 test_acc=0.9221 lr=0.015238
epoch=48 train_loss=0.0338 test_acc=0.9225 lr=0.013250
epoch=49 train_loss=0.0269 test_acc=0.9225 lr=0.011382
epoch=50 train_loss=0.0229 test_acc=0.9248 lr=0.009640
epoch=51 train_loss=0.0185 test_acc=0.9254 lr=0.008029
epoch=52 train_loss=0.0161 test_acc=0.9279 lr=0.006556
epoch=53 train_loss=0.0145 test_acc=0.9291 lr=0.005225
epoch=54 train_loss=0.0131 test_acc=0.9288 lr=0.004040
epoch=55 train_loss=0.0128 test_acc=0.9293 lr=0.003005
epoch=56 train_loss=0.0119 test_acc=0.9298 lr=0.002123
epoch=57 train_loss=0.0107 test_acc=0.9292 lr=0.001398
epoch=58 train_loss=0.0102 test_acc=0.9296 lr=0.000832
epoch=59 train_loss=0.0099 test_acc=0.9307 lr=0.000426
epoch=60 train_loss=0.0097 test_acc=0.9303 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_residual.csv
