epoch,train_loss,test_acc,lr
1,2.3012,0.1001,0.020000
2,2.2710,0.1564,0.040000
3,2.1840,0.2135,0.060000
4,2.0324,0.2628,0.080000
5,1.8335,0.3401,0.100000
6,1.6695,0.4235,0.100000
7,1.4547,0.5170,0.099919
8,1.2314,0.5674,0.099674
9,1.0538,0.5913,0.099268
10,0.9222,0.5988,0.098702
11,0.8226,0.6822,0.097977
12,0.7377,0.7199,0.097095
13,0.6859,0.6862,0.096060
14,0.6416,0.6885,0.094875
15,0.6004,0.7240,0.093544
16,0.5781,0.5446,0.092071
17,0.5481,0.6939,0.090460
18,0.5184,0.7443,0.088718
19,0.5007,0.5698,0.086850
20,0.4837,0.7356,0.084862
21,0.4799,0.6324,0.082760
22,0.4540,0.7304,0.080552
23,0.4404,0.7498,0.078244
24,0.4368,0.7701,0.075844
25,0.4127,0.7051,0.073360
26,0.4065,0.7701,0.070800
27,0.3926,0.7433,0.068172
28,0.3860,0.8106,0.065485
29,0.3671,0.7672,0.062748
30,0.3567,0.8209,0.059970
31,0.3479,0.7357,0.057159
32,0.3395,0.7652,0.054324
33,0.3228,0.7823,0.051476
34,0.3095,0.7293,0.048624
35,0.3007,0.8240,0.045776
36,0.2901,0.6156,0.042941
37,0.2757,0.8278,0.040130
38,0.2661,0.7369,0.037352
39,0.2556,0.7992,0.034615
40,0.2370,0.8605,0.031928
41,0.2237,0.8241,0.029300
42,0.2202,0.8348,0.026740
43,0.2077,0.8338,0.024256
44,0.1908,0.8809,0.021856
45,0.1794,0.8534,0.019548
46,0.1671,0.8515,0.017340
47,0.1552,0.8835,0.015238
48,0.1419,0.8673,0.013250
49,0.1293,0.8832,0.011382
50,0.1167,0.8974,0.009640
51,0.1102,0.8925,0.008029
52,0.0964,0.9054,0.006556
53,0.0911,0.9124,0.005225
54,0.0811,0.9156,0.004040
55,0.0749,0.9167,0.003005
56,0.0705,0.9199,0.002123
57,0.0654,0.9227,0.001398
58,0.0633,0.9238,0.000832
59,0.0593,0.9251,0.000426
60,0.0609,0.9263,0.000181
