使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=2.3012 test_acc=0.1001 lr=0.020000
epoch=2 train_loss=2.2710 test_acc=0.1564 lr=0.040000
epoch=3 train_loss=2.1840 test_acc=0.2135 lr=0.060000
epoch=4 train_loss=2.0324 test_acc=0.2628 lr=0.080000
epoch=5 train_loss=1.8335 test_acc=0.3401 lr=0.100000
epoch=6 train_loss=1.6695 test_acc=0.4235 lr=0.100000
epoch=7 train_loss=1.4547 test_acc=0.5170 lr=0.099919
epoch=8 train_loss=1.2314 test_acc=0.5674 lr=0.099674
epoch=9 train_loss=1.0538 test_acc=0.5913 lr=0.099268
epoch=10 train_loss=0.9222 test_acc=0.5988 lr=0.098702
epoch=11 train_loss=0.8226 test_acc=0.6822 lr=0.097977
epoch=12 train_loss=0.7377 test_acc=0.7199 lr=0.097095
epoch=13 train_loss=0.6859 test_acc=0.6862 lr=0.096060
epoch=14 train_loss=0.6416 test_acc=0.6885 lr=0.094875
epoch=15 train_loss=0.6004 test_acc=0.7240 lr=0.093544
epoch=16 train_loss=0.5781 test_acc=0.5446 lr=0.092071
epoch=17 train_loss=0.5481 test_acc=0.6939 lr=0.090460
epoch=18 train_loss=0.5184 test_acc=0.7443 lr=0.088718
epoch=19 train_loss=0.5007 test_acc=0.5698 lr=0.086850
epoch=20 train_loss=0.4837 test_acc=0.7356 lr=0.084862
epoch=21 train_loss=0.4799 test_acc=0.6324 lr=0.082760
epoch=22 train_loss=0.4540 test_acc=0.7304 lr=0.080552
epoch=23 train_loss=0.4404 test_acc=0.7498 lr=0.078244
epoch=24 train_loss=0.4368 test_acc=0.7701 lr=0.075844
epoch=25 train_loss=0.4127 test_acc=0.7051 lr=0.073360
epoch=26 train_loss=0.4065 test_acc=0.7701 lr=0.070800
epoch=27 train_loss=0.3926 test_acc=0.7433 lr=0.068172
epoch=28 train_loss=0.3860 test_acc=0.8106 lr=0.065485
epoch=29 train_loss=0.3671 test_acc=0.7672 lr=0.062748
epoch=30 train_loss=0.3567 test_acc=0.8209 lr=0.059970
epoch=31 train_loss=0.3479 test_acc=0.7357 lr=0.057159
epoch=32 train_loss=0.3395 test_acc=0.7652 lr=0.054324
epoch=33 train_loss=0.3228 test_acc=0.7823 lr=0.051476
epoch=34 train_loss=0.3095 test_acc=0.7293 lr=0.048624
epoch=35 train_loss=0.3007 test_acc=0.8240 lr=0.045776
epoch=36 train_loss=0.2901 test_acc=0.6156 lr=0.042941
epoch=37 train_loss=0.2757 test_acc=0.8278 lr=0.040130
epoch=38 train_loss=0.2661 test_acc=0.7369 lr=0.037352
epoch=39 train_loss=0.2556 test_acc=0.7992 lr=0.034615
epoch=40 train_loss=0.2370 test_acc=0.8605 lr=0.031928
epoch=41 train_loss=0.2237 test_acc=0.8241 lr=0.029300
epoch=42 train_loss=0.2202 test_acc=0.8348 lr=0.026740
epoch=43 train_loss=0.2077 test_acc=0.8338 lr=0.024256
epoch=44 train_loss=0.1908 test_acc=0.8809 lr=0.021856
epoch=45 train_loss=0.1794 test_acc=0.8534 lr=0.019548
epoch=46 train_loss=0.1671 test_acc=0.8515 lr=0.017340
epoch=47 train_loss=0.1552 test_acc=0.8835 lr=0.015238
epoch=48 train_loss=0.1419 test_acc=0.8673 lr=0.013250
epoch=49 train_loss=0.1293 test_acc=0.8832 lr=0.011382
epoch=50 train_loss=0.1167 test_acc=0.8974 lr=0.009640
epoch=51 train_loss=0.1102 test_acc=0.8925 lr=0.008029
epoch=52 train_loss=0.0964 test_acc=0.9054 lr=0.006556
epoch=53 train_loss=0.0911 test_acc=0.9124 lr=0.005225
epoch=54 train_loss=0.0811 test_acc=0.9156 lr=0.004040
epoch=55 train_loss=0.0749 test_acc=0.9167 lr=0.003005
epoch=56 train_loss=0.0705 test_acc=0.9199 lr=0.002123
epoch=57 train_loss=0.0654 test_acc=0.9227 lr=0.001398
epoch=58 train_loss=0.0633 test_acc=0.9238 lr=0.000832
epoch=59 train_loss=0.0593 test_acc=0.9251 lr=0.000426
epoch=60 train_loss=0.0609 test_acc=0.9263 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_softmax.csv
