epoch,train_loss,test_acc,lr
1,1.5519,0.5024,0.020000
2,1.1293,0.6027,0.040000
3,0.8592,0.6859,0.060000
4,0.7301,0.7482,0.080000
5,0.6562,0.7404,0.100000
6,0.5718,0.7861,0.100000
7,0.5202,0.7784,0.099919
8,0.4844,0.7895,0.099674
9,0.4583,0.8081,0.099268
10,0.4404,0.7915,0.098702
11,0.4262,0.7664,0.097977
12,0.4045,0.8218,0.097095
13,0.3918,0.7978,0.096060
14,0.3867,0.7804,0.094875
15,0.3789,0.8272,0.093544
16,0.3655,0.8317,0.092071
17,0.3548,0.7277,0.090460
18,0.3486,0.7795,0.088718
19,0.3396,0.7855,0.086850
20,0.3334,0.8340,0.084862
21,0.3226,0.7570,0.082760
22,0.3148,0.8283,0.080552
23,0.3036,0.8475,0.078244
24,0.3019,0.8485,0.075844
25,0.2921,0.8497,0.073360
26,0.2833,0.8089,0.070800
27,0.2759,0.8285,0.068172
28,0.2651,0.8429,0.065485
29,0.2593,0.8260,0.062748
30,0.2516,0.8218,0.059970
31,0.2333,0.8376,0.057159
32,0.2319,0.8659,0.054324
33,nan,0.1000,0.051476
34,nan,0.1000,0.048624
35,nan,0.1000,0.045776
36,nan,0.1000,0.042941
37,nan,0.1000,0.040130
38,nan,0.1000,0.037352
39,nan,0.1000,0.034615
40,nan,0.1000,0.031928
41,nan,0.1000,0.029300
42,nan,0.1000,0.026740
43,nan,0.1000,0.024256
44,nan,0.1000,0.021856
45,nan,0.1000,0.019548
46,nan,0.1000,0.017340
47,nan,0.1000,0.015238
48,nan,0.1000,0.013250
49,nan,0.1000,0.011382
50,nan,0.1000,0.009640
51,nan,0.1000,0.008029
52,nan,0.1000,0.006556
53,nan,0.1000,0.005225
54,nan,0.1000,0.004040
55,nan,0.1000,0.003005
56,nan,0.1000,0.002123
57,nan,0.1000,0.001398
58,nan,0.1000,0.000832
59,nan,0.1000,0.000426
60,nan,0.1000,0.000181
