epoch,train_loss,test_acc,lr
1,1.3809,0.6175,0.020000
2,0.9263,0.7196,0.040000
3,0.7389,0.7149,0.060000
4,0.6394,0.7801,0.080000
5,0.5787,0.6880,0.100000
6,0.5104,0.7902,0.100000
7,0.4697,0.7528,0.099919
8,0.4271,0.7952,0.099674
9,0.3971,0.7907,0.099268
10,0.3795,0.8210,0.098702
11,0.3589,0.8215,0.097977
12,0.3395,0.8204,0.097095
13,0.3308,0.7023,0.096060
14,0.3241,0.8429,0.094875
15,0.3108,0.8290,0.093544
16,0.3065,0.8238,0.092071
17,0.2961,0.8333,0.090460
18,0.2869,0.8376,0.088718
19,0.2797,0.8526,0.086850
20,0.2748,0.8712,0.084862
21,0.2629,0.8640,0.082760
22,0.2598,0.8435,0.080552
23,0.2481,0.8726,0.078244
24,0.2417,0.8622,0.075844
25,0.2393,0.8685,0.073360
26,0.2241,0.8112,0.070800
27,0.2250,0.8394,0.068172
28,0.2157,0.8520,0.065485
29,0.2040,0.8696,0.062748
30,0.1977,0.8727,0.059970
31,0.1911,0.8659,0.057159
32,0.1764,0.8869,0.054324
33,0.1696,0.8818,0.051476
34,0.1670,0.8883,0.048624
35,0.1537,0.8943,0.045776
36,0.1478,0.8926,0.042941
37,0.1331,0.8358,0.040130
38,0.1319,0.8822,0.037352
39,0.1204,0.9022,0.034615
40,0.1111,0.9068,0.031928
41,0.0992,0.8995,0.029300
42,0.0936,0.9011,0.026740
43,0.0866,0.9068,0.024256
44,0.0756,0.9003,0.021856
45,0.0705,0.9160,0.019548
46,0.0606,0.9089,0.017340
47,0.0512,0.9218,0.015238
48,0.0438,0.9191,0.013250
49,0.0383,0.9174,0.011382
50,0.0321,0.9252,0.009640
51,0.0258,0.9243,0.008029
52,0.0201,0.9269,0.006556
53,0.0163,0.9276,0.005225
54,0.0157,0.9273,0.004040
55,0.0124,0.9292,0.003005
56,0.0114,0.9310,0.002123
57,0.0092,0.9296,0.001398
58,0.0089,0.9300,0.000832
59,0.0081,0.9306,0.000426
60,0.0084,0.9308,0.000181
