使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=1.5519 test_acc=0.5813 lr=0.020000
epoch=2 train_loss=1.0893 test_acc=0.6610 lr=0.040000
epoch=3 train_loss=0.8504 test_acc=0.7043 lr=0.060000
epoch=4 train_loss=0.7028 test_acc=0.7470 lr=0.080000
epoch=5 train_loss=0.6299 test_acc=0.7198 lr=0.100000
epoch=6 train_loss=0.5535 test_acc=0.7776 lr=0.100000
epoch=7 train_loss=0.5109 test_acc=0.7267 lr=0.099919
epoch=8 train_loss=0.4692 test_acc=0.7558 lr=0.099674
epoch=9 train_loss=0.4455 test_acc=0.8034 lr=0.099268
epoch=10 train_loss=0.4220 test_acc=0.7874 lr=0.098702
epoch=11 train_loss=0.4051 test_acc=0.8143 lr=0.097977
epoch=12 train_loss=0.3954 test_acc=0.7952 lr=0.097095
epoch=13 train_loss=0.3800 test_acc=0.7489 lr=0.096060
epoch=14 train_loss=0.3684 test_acc=0.7922 lr=0.094875
epoch=15 train_loss=0.3606 test_acc=0.8089 lr=0.093544
epoch=16 train_loss=0.3495 test_acc=0.8004 lr=0.092071
epoch=17 train_loss=0.3456 test_acc=0.7635 lr=0.090460
epoch=18 train_loss=0.3319 test_acc=0.8287 lr=0.088718
epoch=19 train_loss=0.3226 test_acc=0.8346 lr=0.086850
epoch=20 train_loss=0.3182 test_acc=0.8335 lr=0.084862
epoch=21 train_loss=0.3116 test_acc=0.8432 lr=0.082760
epoch=22 train_loss=0.3025 test_acc=0.8471 lr=0.080552
epoch=23 train_loss=0.2955 test_acc=0.8470 lr=0.078244
epoch=24 train_loss=0.2871 test_acc=0.8623 lr=0.075844
epoch=25 train_loss=0.2783 test_acc=0.8546 lr=0.073360
epoch=26 train_loss=0.2693 test_acc=0.8521 lr=0.070800
epoch=27 train_loss=0.2605 test_acc=0.8682 lr=0.068172
epoch=28 train_loss=0.2501 test_acc=0.8493 lr=0.065485
epoch=29 train_loss=0.2469 test_acc=0.8581 lr=0.062748
epoch=30 train_loss=0.2327 test_acc=0.8219 lr=0.059970
epoch=31 train_loss=0.2280 test_acc=0.8240 lr=0.057159
epoch=32 train_loss=0.2116 test_acc=0.8528 lr=0.054324
epoch=33 train_loss=0.2140 test_acc=0.8629 lr=0.051476
epoch=34 train_loss=0.1962 test_acc=0.8796 lr=0.048624
epoch=35 train_loss=0.1869 test_acc=0.8375 lr=0.045776
epoch=36 train_loss=0.1758 test_acc=0.8832 lr=0.042941
epoch=37 train_loss=0.1675 test_acc=0.8733 lr=0.040130
epoch=38 train_loss=0.1610 test_acc=0.8903 lr=0.037352
epoch=39 train_loss=0.1485 test_acc=0.8782 lr=0.034615
epoch=40 train_loss=0.1470 test_acc=0.8887 lr=0.031928
epoch=41 train_loss=0.1262 test_acc=0.8889 lr=0.029300
epoch=42 train_loss=0.1166 test_acc=0.8953 lr=0.026740
epoch=43 train_loss=0.1040 test_acc=0.8940 lr=0.024256
epoch=44 train_loss=0.0945 test_acc=0.8908 lr=0.021856
epoch=45 train_loss=0.0824 test_acc=0.8995 lr=0.019548
epoch=46 train_loss=0.0726 test_acc=0.9083 lr=0.017340
epoch=47 train_loss=0.0635 test_acc=0.9057 lr=0.015238
epoch=48 train_loss=0.0532 test_acc=0.9132 lr=0.013250
epoch=49 train_loss=0.0450 test_acc=0.9138 lr=0.011382
epoch=50 train_loss=0.0395 test_acc=0.9125 lr=0.009640
epoch=51 train_loss=0.0337 test_acc=0.9158 lr=0.008029
epoch=52 train_loss=0.0282 test_acc=0.9193 lr=0.006556
epoch=53 train_loss=0.0220 test_acc=0.9201 lr=0.005225
epoch=54 train_loss=0.0208 test_acc=0.9201 lr=0.004040
epoch=55 train_loss=0.0166 test_acc=0.9242 lr=0.003005
epoch=56 train_loss=0.0151 test_acc=0.9246 lr=0.002123
epoch=57 train_loss=0.0145 test_acc=0.9259 lr=0.001398
epoch=58 train_loss=0.0140 test_acc=0.9255 lr=0.000832
epoch=59 train_loss=0.0150 test_acc=0.9257 lr=0.000426
epoch=60 train_loss=0.0131 test_acc=0.9256 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_integral.csv
