使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=3.1691 test_acc=0.3384 lr=0.020000
epoch=2 train_loss=1.7829 test_acc=0.4492 lr=0.040000
epoch=3 train_loss=1.4132 test_acc=0.5359 lr=0.060000
epoch=4 train_loss=1.1143 test_acc=0.6395 lr=0.080000
epoch=5 train_loss=0.8888 test_acc=0.7264 lr=0.100000
epoch=6 train_loss=0.7232 test_acc=0.6756 lr=0.100000
epoch=7 train_loss=0.6263 test_acc=0.7462 lr=0.099919
epoch=8 train_loss=0.5561 test_acc=0.7683 lr=0.099674
epoch=9 train_loss=0.5093 test_acc=0.7943 lr=0.099268
epoch=10 train_loss=0.4815 test_acc=0.8120 lr=0.098702
epoch=11 train_loss=0.4402 test_acc=0.7737 lr=0.097977
epoch=12 train_loss=0.4105 test_acc=0.8103 lr=0.097095
epoch=13 train_loss=0.3900 test_acc=0.7849 lr=0.096060
epoch=14 train_loss=0.3709 test_acc=0.8111 lr=0.094875
epoch=15 train_loss=0.3578 test_acc=0.8208 lr=0.093544
epoch=16 train_loss=0.3403 test_acc=0.8205 lr=0.092071
epoch=17 train_loss=0.3312 test_acc=0.8318 lr=0.090460
epoch=18 train_loss=0.3230 test_acc=0.8378 lr=0.088718
epoch=19 train_loss=0.3197 test_acc=0.8351 lr=0.086850
epoch=20 train_loss=0.2982 test_acc=0.8607 lr=0.084862
epoch=21 train_loss=0.2859 test_acc=0.8616 lr=0.082760
epoch=22 train_loss=0.2797 test_acc=0.8686 lr=0.080552
epoch=23 train_loss=0.2699 test_acc=0.8618 lr=0.078244
epoch=24 train_loss=0.2627 test_acc=0.8472 lr=0.075844
epoch=25 train_loss=0.2482 test_acc=0.8572 lr=0.073360
epoch=26 train_loss=0.2403 test_acc=0.8679 lr=0.070800
epoch=27 train_loss=0.2341 test_acc=0.8649 lr=0.068172
epoch=28 train_loss=0.2189 test_acc=0.8759 lr=0.065485
epoch=29 train_loss=0.2148 test_acc=0.8772 lr=0.062748
epoch=30 train_loss=0.2097 test_acc=0.8650 lr=0.059970
epoch=31 train_loss=0.1928 test_acc=0.8817 lr=0.057159
epoch=32 train_loss=0.1883 test_acc=0.8859 lr=0.054324
epoch=33 train_loss=0.1742 test_acc=0.8775 lr=0.051476
epoch=34 train_loss=0.1665 test_acc=0.8882 lr=0.048624
epoch=35 train_loss=0.1497 test_acc=0.8783 lr=0.045776
epoch=36 train_loss=0.1475 test_acc=0.8961 lr=0.042941
epoch=37 train_loss=0.1341 test_acc=0.8866 lr=0.040130
epoch=38 train_loss=0.1274 test_acc=0.8882 lr=0.037352
epoch=39 train_loss=0.1164 test_acc=0.9033 lr=0.034615
epoch=40 train_loss=0.1062 test_acc=0.8927 lr=0.031928
epoch=41 train_loss=0.0909 test_acc=0.9013 lr=0.029300
epoch=42 train_loss=0.0870 test_acc=0.9048 lr=0.026740
epoch=43 train_loss=0.0727 test_acc=0.9075 lr=0.024256
epoch=44 train_loss=0.0642 test_acc=0.9103 lr=0.021856
epoch=45 train_loss=0.0518 test_acc=0.9149 lr=0.019548
epoch=46 train_loss=0.0460 test_acc=0.9187 lr=0.017340
epoch=47 train_loss=0.0395 test_acc=0.9186 lr=0.015238
epoch=48 train_loss=0.0322 test_acc=0.9186 lr=0.013250
epoch=49 train_loss=0.0275 test_acc=0.9202 lr=0.011382
epoch=50 train_loss=0.0234 test_acc=0.9228 lr=0.009640
epoch=51 train_loss=0.0201 test_acc=0.9264 lr=0.008029
epoch=52 train_loss=0.0166 test_acc=0.9273 lr=0.006556
epoch=53 train_loss=0.0150 test_acc=0.9286 lr=0.005225
epoch=54 train_loss=0.0131 test_acc=0.9277 lr=0.004040
epoch=55 train_loss=0.0119 test_acc=0.9278 lr=0.003005
epoch=56 train_loss=0.0113 test_acc=0.9287 lr=0.002123
epoch=57 train_loss=0.0110 test_acc=0.9286 lr=0.001398
epoch=58 train_loss=0.0106 test_acc=0.9296 lr=0.000832
epoch=59 train_loss=0.0101 test_acc=0.9285 lr=0.000426
epoch=60 train_loss=0.0098 test_acc=0.9300 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_pid_full.csv
