使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=1.5519 test_acc=0.5024 lr=0.020000
epoch=2 train_loss=1.1293 test_acc=0.6027 lr=0.040000
epoch=3 train_loss=0.8592 test_acc=0.6859 lr=0.060000
epoch=4 train_loss=0.7301 test_acc=0.7482 lr=0.080000
epoch=5 train_loss=0.6562 test_acc=0.7404 lr=0.100000
epoch=6 train_loss=0.5718 test_acc=0.7861 lr=0.100000
epoch=7 train_loss=0.5202 test_acc=0.7784 lr=0.099919
epoch=8 train_loss=0.4844 test_acc=0.7895 lr=0.099674
epoch=9 train_loss=0.4583 test_acc=0.8081 lr=0.099268
epoch=10 train_loss=0.4404 test_acc=0.7915 lr=0.098702
epoch=11 train_loss=0.4262 test_acc=0.7664 lr=0.097977
epoch=12 train_loss=0.4045 test_acc=0.8218 lr=0.097095
epoch=13 train_loss=0.3918 test_acc=0.7978 lr=0.096060
epoch=14 train_loss=0.3867 test_acc=0.7804 lr=0.094875
epoch=15 train_loss=0.3789 test_acc=0.8272 lr=0.093544
epoch=16 train_loss=0.3655 test_acc=0.8317 lr=0.092071
epoch=17 train_loss=0.3548 test_acc=0.7277 lr=0.090460
epoch=18 train_loss=0.3486 test_acc=0.7795 lr=0.088718
epoch=19 train_loss=0.3396 test_acc=0.7855 lr=0.086850
epoch=20 train_loss=0.3334 test_acc=0.8340 lr=0.084862
epoch=21 train_loss=0.3226 test_acc=0.7570 lr=0.082760
epoch=22 train_loss=0.3148 test_acc=0.8283 lr=0.080552
epoch=23 train_loss=0.3036 test_acc=0.8475 lr=0.078244
epoch=24 train_loss=0.3019 test_acc=0.8485 lr=0.075844
epoch=25 train_loss=0.2921 test_acc=0.8497 lr=0.073360
epoch=26 train_loss=0.2833 test_acc=0.8089 lr=0.070800
epoch=27 train_loss=0.2759 test_acc=0.8285 lr=0.068172
epoch=28 train_loss=0.2651 test_acc=0.8429 lr=0.065485
epoch=29 train_loss=0.2593 test_acc=0.8260 lr=0.062748
epoch=30 train_loss=0.2516 test_acc=0.8218 lr=0.059970
epoch=31 train_loss=0.2333 test_acc=0.8376 lr=0.057159
epoch=32 train_loss=0.2319 test_acc=0.8659 lr=0.054324
epoch=33 train_loss=nan test_acc=0.1000 lr=0.051476
epoch=34 train_loss=nan test_acc=0.1000 lr=0.048624
epoch=35 train_loss=nan test_acc=0.1000 lr=0.045776
epoch=36 train_loss=nan test_acc=0.1000 lr=0.042941
epoch=37 train_loss=nan test_acc=0.1000 lr=0.040130
epoch=38 train_loss=nan test_acc=0.1000 lr=0.037352
epoch=39 train_loss=nan test_acc=0.1000 lr=0.034615
epoch=40 train_loss=nan test_acc=0.1000 lr=0.031928
epoch=41 train_loss=nan test_acc=0.1000 lr=0.029300
epoch=42 train_loss=nan test_acc=0.1000 lr=0.026740
epoch=43 train_loss=nan test_acc=0.1000 lr=0.024256
epoch=44 train_loss=nan test_acc=0.1000 lr=0.021856
epoch=45 train_loss=nan test_acc=0.1000 lr=0.019548
epoch=46 train_loss=nan test_acc=0.1000 lr=0.017340
epoch=47 train_loss=nan test_acc=0.1000 lr=0.015238
epoch=48 train_loss=nan test_acc=0.1000 lr=0.013250
epoch=49 train_loss=nan test_acc=0.1000 lr=0.011382
epoch=50 train_loss=nan test_acc=0.1000 lr=0.009640
epoch=51 train_loss=nan test_acc=0.1000 lr=0.008029
epoch=52 train_loss=nan test_acc=0.1000 lr=0.006556
epoch=53 train_loss=nan test_acc=0.1000 lr=0.005225
epoch=54 train_loss=nan test_acc=0.1000 lr=0.004040
epoch=55 train_loss=nan test_acc=0.1000 lr=0.003005
epoch=56 train_loss=nan test_acc=0.1000 lr=0.002123
epoch=57 train_loss=nan test_acc=0.1000 lr=0.001398
epoch=58 train_loss=nan test_acc=0.1000 lr=0.000832
epoch=59 train_loss=nan test_acc=0.1000 lr=0.000426
epoch=60 train_loss=nan test_acc=0.1000 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_sumnorm.csv
