使用设备: cuda  骨干: 8 阶段  AMP: 开
epoch=1 train_loss=1.3809 test_acc=0.6175 lr=0.020000
epoch=2 train_loss=0.9263 test_acc=0.7196 lr=0.040000
epoch=3 train_loss=0.7389 test_acc=0.7149 lr=0.060000
epoch=4 train_loss=0.6394 test_acc=0.7801 lr=0.080000
epoch=5 train_loss=0.5787 test_acc=0.6880 lr=0.100000
epoch=6 train_loss=0.5104 test_acc=0.7902 lr=0.100000
epoch=7 train_loss=0.4697 test_acc=0.7528 lr=0.099919
epoch=8 train_loss=0.4271 test_acc=0.7952 lr=0.099674
epoch=9 train_loss=0.3971 test_acc=0.7907 lr=0.099268
epoch=10 train_loss=0.3795 test_acc=0.8210 lr=0.098702
epoch=11 train_loss=0.3589 test_acc=0.8215 lr=0.097977
epoch=12 train_loss=0.3395 test_acc=0.8204 lr=0.097095
epoch=13 train_loss=0.3308 test_acc=0.7023 lr=0.096060
epoch=14 train_loss=0.3241 test_acc=0.8429 lr=0.094875
epoch=15 train_loss=0.3108 test_acc=0.8290 lr=0.093544
epoch=16 train_loss=0.3065 test_acc=0.8238 lr=0.092071
epoch=17 train_loss=0.2961 test_acc=0.8333 lr=0.090460
epoch=18 train_loss=0.2869 test_acc=0.8376 lr=0.088718
epoch=19 train_loss=0.2797 test_acc=0.8526 lr=0.086850
epoch=20 train_loss=0.2748 test_acc=0.8712 lr=0.084862
epoch=21 train_loss=0.2629 test_acc=0.8640 lr=0.082760
epoch=22 train_loss=0.2598 test_acc=0.8435 lr=0.080552
epoch=23 train_loss=0.2481 test_acc=0.8726 lr=0.078244
epoch=24 train_loss=0.2417 test_acc=0.8622 lr=0.075844
epoch=25 train_loss=0.2393 test_acc=0.8685 lr=0.073360
epoch=26 train_loss=0.2241 test_acc=0.8112 lr=0.070800
epoch=27 train_loss=0.2250 test_acc=0.8394 lr=0.068172
epoch=28 train_loss=0.2157 test_acc=0.8520 lr=0.065485
epoch=29 train_loss=0.2040 test_acc=0.8696 lr=0.062748
epoch=30 train_loss=0.1977 test_acc=0.8727 lr=0.059970
epoch=31 train_loss=0.1911 test_acc=0.8659 lr=0.057159
epoch=32 train_loss=0.1764 test_acc=0.8869 lr=0.054324
epoch=33 train_loss=0.1696 test_acc=0.8818 lr=0.051476
epoch=34 train_loss=0.1670 test_acc=0.8883 lr=0.048624
epoch=35 train_loss=0.1537 test_acc=0.8943 lr=0.045776
epoch=36 train_loss=0.1478 test_acc=0.8926 lr=0.042941
epoch=37 train_loss=0.1331 test_acc=0.8358 lr=0.040130
epoch=38 train_loss=0.1319 test_acc=0.8822 lr=0.037352
epoch=39 train_loss=0.1204 test_acc=0.9022 lr=0.034615
epoch=40 train_loss=0.1111 test_acc=0.9068 lr=0.031928
epoch=41 train_loss=0.0992 test_acc=0.8995 lr=0.029300
epoch=42 train_loss=0.0936 test_acc=0.9011 lr=0.026740
epoch=43 train_loss=0.0866 test_acc=0.9068 lr=0.024256
epoch=44 train_loss=0.0756 test_acc=0.9003 lr=0.021856
epoch=45 train_loss=0.0705 test_acc=0.9160 lr=0.019548
epoch=46 train_loss=0.0606 test_acc=0.9089 lr=0.017340
epoch=47 train_loss=0.0512 test_acc=0.9218 lr=0.015238
epoch=48 train_loss=0.0438 test_acc=0.9191 lr=0.013250
epoch=49 train_loss=0.0383 test_acc=0.9174 lr=0.011382
epoch=50 train_loss=0.0321 test_acc=0.9252 lr=0.009640
epoch=51 train_loss=0.0258 test_acc=0.9243 lr=0.008029
epoch=52 train_loss=0.0201 test_acc=0.9269 lr=0.006556
epoch=53 train_loss=0.0163 test_acc=0.9276 lr=0.005225
epoch=54 train_loss=0.0157 test_acc=0.9273 lr=0.004040
epoch=55 train_loss=0.0124 test_acc=0.9292 lr=0.003005
epoch=56 train_loss=0.0114 test_acc=0.9310 lr=0.002123
epoch=57 train_loss=0.0092 test_acc=0.9296 lr=0.001398
epoch=58 train_loss=0.0089 test_acc=0.9300 lr=0.000832
epoch=59 train_loss=0.0081 test_acc=0.9306 lr=0.000426
epoch=60 train_loss=0.0084 test_acc=0.9308 lr=0.000181
结果已写入: F:\PythonProject\cnn-pid-thinking\results\deep8_sumnorm_residual.csv
